単語・フレーズ,タグ,サブタグ
approve of ~,重複,推測可能
approximate,重複,推測可能
approximately,重複,推測可能
around the clock,重複,推測可能
arrive,重複,推測可能
arrive at ~,重複,推測可能
arrogance,重複,推測可能
arrogant,重複,推測可能
as a matter of fact,重複,推測可能
as a result,重複,推測可能
as a result of ~,重複,推測可能
as always,重複,推測可能
as expected,重複,
as soon as possible,重複,推測可能
as usual,重複,推測可能
ASAP,重複,推測可能
ask,重複,推測可能
ask (A) to do,重複,推測可能
ask A for B,重複,推測可能
assure,重複,推測可能
assured,重複,推測可能
astonish,重複,推測可能
astonishing,重複,推測可能
at 9 a.m.,重複,
at a time,重複,推測可能
at all costs / at any cost,重複,推測可能
at any risk,重複,推測可能
at home,重複,推測可能
at no cost,重複,推測可能
at noon,重複,推測可能
at one's own risk,重複,推測可能
at school,重複,推測可能
at that moment,重複,推測可能
at that time,重複,推測可能
at the end of ~,重複,推測可能
at the expense of ~,重複,推測可能
at the foot of ~,重複,推測可能
at the moment,重複,推測可能
at times,重複,
at work,重複,推測可能
at your earliest convenience,重複,
athlete,重複,推測可能
athletic,重複,推測可能
attach,重複,推測可能
attachment,重複,推測可能
attend,重複,推測可能
attendant,重複,推測可能
attention,重複,推測可能
attentive,重複,推測可能
authorities,重複,推測可能
authority,重複,推測可能
availability,重複,推測可能
available,重複,推測可能
await,重複,推測可能
award,重複,推測可能
award-winning,重複,推測可能
aware,重複,推測可能
awe,重複,推測可能
awesome,重複,推測可能
awful,重複,推測可能
awfully,重複,推測可能
back home,重複,推測可能
back in ~,重複,
backache,重複,推測可能
bake,重複,推測可能
baked,重複,推測可能
balance,重複,推測可能
balanced,重複,推測可能
ballpoint pen,重複,レア
bamboo,重複,レア
bank,重複,推測可能
barely,重複,推測可能
bargain,重複,推測可能
base,重複,推測可能
baseball,重複,推測可能
based on ~,重複,
basic,重複,推測可能
basically,重複,推測可能
basketball,重複,推測可能
bath,重複,推測可能
bathe,重複,推測可能
battery charger,重複,
be absorbed in ~,重複,
be acquainted (with ~),重複,
be all alone,重複,推測可能
be amazed at ~,重複,推測可能
be annoyed,重複,
be astonished at (by) ~,重複,
be attached to ~,重複,
be aware of ~,重複,推測可能
be bad at ~,重複,
be born,重複,推測可能
be broken,重複,推測可能
be capable of ...ing,重複,推測可能
be concerned about ~,重複,推測可能
be conscious of ~,重複,推測可能
be covered with ~,重複,
be crazy about ~,重複,推測可能
"be delighted at (by, with) ~",重複,推測可能
be delighted to ...,重複,推測可能
be derived from ~,重複,
be done with ~,重複,
be due to ...,重複,推測可能
be eager to ...,重複,推測可能
be engaged in ~,重複,推測可能
be familiar with ~,重複,推測可能
be filled with ~,重複,
be fond of ~,重複,
be friends with ~,重複,
be full of ~,重複,推測可能
be getting a cold,重複,推測可能
be glad to do,重複,推測可能
be good at ~,重複,推測可能
be happy to do,重複,推測可能
be honored to ...,重複,
be in charge of ~,重複,推測可能
be in danger of ~,重複,推測可能
be in the possession of ~,重複,推測可能
be in touch with ~,重複,推測可能
be infected with ~,重複,
be inferior to ~,重複,推測可能
be interested in ~,重複,推測可能
be into ~,重複,
be isolated from ~,重複,
be keen on ~,重複,推測可能
be known for ~,重複,
be likely to ...,重複,
be looking to ...,重複,
be made of ~,重複,
be more than happy to ...,重複,推測可能
be occupied with ~,重複,
be off,重複,
be on a diet,重複,推測可能
be opposed to ~,重複,
be over,重複,
be pleased with ~,重複,推測可能
be poor at ~,重複,推測可能
be prepared for ~,重複,推測可能
be prepared to do,重複,推測可能
be proud of ~,重複,
be qualified for ~,重複,
be ready for ~,重複,推測可能
be ready to do,重複,推測可能
be reluctant to ...,重複,推測可能
be right back,重複,推測可能
be rooted in ~,重複,
be safe with ~,重複,推測可能
be satisfied with ~,重複,
be seeing ~,重複,
be stressed out,重複,推測可能
be sure (that) ...,重複,推測可能
be sure of (名詞),重複,推測可能
be sure to ...,重複,推測可能
be surprised at ~,重複,推測可能
be tired from ~,重複,推測可能
be tired of ~,重複,推測可能
be vulnerable to ~,重複,推測可能
be welcome to ...,重複,推測可能
be willing to ...,重複,推測可能
be worth ...ing,重複,推測可能
(be) open to ~,重複,推測可能
beat,重複,推測可能
beat the crowd,重複,推測可能
beautiful,重複,推測可能
beautiful day,重複,推測可能
behave,重複,推測可能
Behave yourself.,重複,推測可能
behind,重複,推測可能
behind schedule,重複,推測可能
believe,重複,推測可能
believe (that) SV,重複,推測可能
believe in ~,重複,推測可能
believe it or not,重複,推測可能
best,重複,推測可能
beyond one's capability,重複,
bias,重複,推測可能
biased,重複,推測可能
bind,重複,推測可能
binder,重複,推測可能
birth,重複,推測可能
blond-haired,重複,推測可能
boast,重複,推測可能
boasting,重複,推測可能
boil,重複,推測可能
boot (up),重複,
boots,重複,推測可能
born,重複,推測可能
bother,重複,推測可能
bouillon,重複,レア
bouldering,重複,レア
brave,重複,推測可能
bravely,重複,推測可能
break,重複,推測可能
break into ~,重複,推測可能
break out,重複,推測可能
break out in ~,重複,推測可能
break up (with ~),重複,推測可能
bright,重複,推測可能
brighten,重複,推測可能
bring,重複,推測可能
bring A to B,重複,推測可能
bring ~ back,重複,推測可能
bring ~ up,重複,推測可能
brush,重複,推測可能
brush one's teeth,重複,
brushing,重複,推測可能
bucket,重複,推測可能
bucket list,重複,推測可能
build,重複,推測可能
build up ~,重複,推測可能
bull,重複,推測可能
bump,重複,推測可能
burn,重複,推測可能
burning,重複,推測可能
burst,重複,推測可能
burst into laughter,重複,推測可能
business,重複,推測可能
business trip,重複,推測可能
buy,重複,推測可能
buy ~ in cash,重複,推測可能
by all means,重複,推測可能
by car,重複,推測可能
by chance,重複,推測可能
by coincidence,重複,推測可能
by far,重複,推測可能
by no means,重複,推測可能
by one's own choice,重複,推測可能
by the end of the month,重複,推測可能
by the end of the week,重複,推測可能
by train,重複,推測可能
by virtue of ~,重複,推測可能
cabbage,重複,推測可能
calculate,重複,推測可能
calculation,重複,推測可能
call on ~,重複,
can hardly wait,重複,推測可能
Can you spare me ~?,重複,
can't help ...ing,重複,
can't help but ...,重複,推測可能
cannot stand ~,重複,推測可能
capability,重複,推測可能
capital,重複,推測可能
capital city,重複,推測可能
captive,重複,推測可能
capture,重複,推測可能
car,重複,推測可能
care,重複,推測可能
care worker,重複,推測可能
careful,重複,推測可能
carefully,重複,推測可能
carry,重複,推測可能
carry ~ out,重複,推測可能
carry-on baggage,重複,推測可能
cash,重複,推測可能
casual,重複,推測可能
casually,重複,推測可能
catch,重複,推測可能
catch a cold (the flu),重複,推測可能
catch up with ~,重複,推測可能
cause,重複,推測可能
cause an accident,重複,推測可能
cause harm to ~,重複,推測可能
chance,重複,推測可能
chance of ~,重複,推測可能
change,重複,推測可能
change into ~,重複,推測可能
changeable,重複,推測可能
check,重複,推測可能
check in,重複,推測可能
check out ~,重複,推測可能
checkout counter,重複,
cheer,重複,推測可能
cheer ~ on,重複,推測可能
Cheers!,重複,
cherry,重複,推測可能
cherry (blossoms),重複,推測可能
Chinese,重複,推測可能
Chinese cabbage,重複,推測可能
choice,重複,推測可能
chop,重複,推測可能
chop ~ into chunks,重複,推測可能
cite,重複,推測可能
civilization,重複,推測可能
civilized,重複,推測可能
class,重複,推測可能
classical Japanese,重複,推測可能
classical music,重複,推測可能
classmate,重複,推測可能
clean,重複,推測可能
clean up ~,重複,推測可能
cleaning,重複,推測可能
cleanly,重複,推測可能
cleanser,重複,推測可能
clear,重複,推測可能
clear up,重複,推測可能
clerical,重複,推測可能
clerk,重複,推測可能
climb,重複,推測可能
climbing,重複,推測可能
close,重複,推測可能
close down an application,重複,推測可能
close to ~,重複,推測可能
close-up,重複,推測可能
closed,重複,推測可能
clothes,重複,推測可能
clothing,重複,推測可能
cloud,重複,推測可能
cloudy,重複,推測可能
co-ed,重複,推測可能
coast,重複,推測可能
coastal,重複,推測可能
coeducation,重複,推測可能
coffee break,重複,推測可能
coincide,重複,推測可能
coincidence,重複,推測可能
cold,重複,推測可能
combination,重複,推測可能
combine,重複,推測可能
come about,重複,
come across ~,重複,推測可能
come along,重複,推測可能
come and visit ~,重複,推測可能
come back to ~,重複,
come by,重複,
come from ~,重複,
come home,重複,推測可能
come in handy,重複,推測可能
come in second,重複,推測可能
Come in.,重複,
come on in,重複,
come out,重複,
come over,重複,
come to ...,重複,
come to do,重複,
come to ~,重複,
come together,重複,推測可能
come true,重複,推測可能
come up with ~,重複,
comic,重複,推測可能
comic book,重複,推測可能
commonly,重複,推測可能
compassionate,重複,推測可能
compete (with ~),重複,推測可能
completely,重複,推測可能
completion,重複,推測可能
complexity,重複,推測可能
complicate,重複,推測可能
comply with ~,重複,
concerned,重複,推測可能
concerning,重複,推測可能
conditional,重複,推測可能
confine,重複,推測可能
confirmation,重複,推測可能
confused,重複,推測可能
confusing,重複,推測可能
confusion,重複,推測可能
congratulate,重複,推測可能
Congratulations!,重複,
Congress,重複,推測可能
connect with ~,重複,推測可能
conquest,重複,推測可能
consciousness,重複,推測可能
considerably,重複,推測可能
considering ~,重複,
consist of ~,重複,推測可能
consistently,重複,推測可能
constipation,重複,レア
contact lenses,重複,推測可能
content with ~,重複,推測可能
continual,重複,推測可能
continuous,重複,推測可能
contradict,重複,推測可能
contrary to ~,重複,
contribute to ~,重複,推測可能
conveniently,重複,推測可能
conventional wisdom,重複,推測可能
convinced,重複,推測可能
convincingly,重複,推測可能
cooked,重複,推測可能
cool down,重複,推測可能
cope with ~,重複,推測可能
corporate retreat,重複,推測可能
correct,重複,推測可能
correction,重複,推測可能
correctly,重複,推測可能
cost-saving,重複,推測可能
costly,重複,推測可能
count on ~,重複,推測可能
countable,重複,推測可能
countless,重複,推測可能
countryside,重複,推測可能
county,重複,推測可能
creamy,重複,推測可能
crises,重複,推測可能
crowded (with ~),重複,推測可能
cultivated,重複,推測可能
cultivation,重複,推測可能
curious about ~,重複,推測可能
currently,重複,推測可能
cut up ~,重複,
cut ~ into ... pieces,重複,
cut ~ into round slices,重複,
cut ~ into strips,重複,
CV,重複,推測可能
daily living expenses,重複,推測可能
damaging,重複,推測可能
dangerously,重複,推測可能
day after day,重複,
day care,重複,推測可能
day off,重複,
daydream,重複,推測可能
daytime,重複,推測可能
daytrip,重複,推測可能
dead,重複,推測可能
deal with ~,重複,推測可能
dealer,重複,推測可能
dear,重複,推測可能
debatable,重複,推測可能
decayed tooth,重複,推測可能
decency,重複,推測可能
decently,重複,推測可能
decide that ...,重複,推測可能
deep-fry,重複,推測可能
deeply,重複,推測可能
definite,重複,推測可能
deliberate,重複,推測可能
denial,重複,推測可能
depend on ~,重複,推測可能
depending on ~,重複,
depress,重複,推測可能
deserted,重複,推測可能
desk lamp,重複,推測可能
desktop (computer),重複,推測可能
devote,重複,推測可能
difference (in ~),重複,推測可能
dig up ~,重複,推測可能
diligently,重複,推測可能
dining room,重複,推測可能
directly,重複,推測可能
director,重複,推測可能
disappearance,重複,推測可能
disappointing,重複,推測可能
disastrous,重複,推測可能
discoverer,重複,推測可能
diseased,重複,推測可能
dishwasher,重複,推測可能
dismiss,重複,推測可能
dismissal,重複,推測可能
disposal,重複,推測可能
disturbing,重複,推測可能
divorced,重複,推測可能
do a good job,重複,推測可能
do harm to ~,重複,推測可能
do one's best,重複,推測可能
Do you have a minute?,重複,推測可能
Do you have any ideas?,重複,
do ~ a favor,重複,推測可能
Doctors Without Borders,重複,レア
dominate,重複,推測可能
domination,重複,推測可能
donator,重複,推測可能
double-booking,重複,推測可能
double-edged,重複,推測可能
doublecheck,重複,推測可能
down there,重複,
downstairs,重複,推測可能
drainpipe,重複,推測可能
dramatic,重複,推測可能
draw a picture,重複,推測可能
drawing pin,重複,レア
dreamlike,重複,推測可能
dresser,重複,推測可能
dried seaweed sheet,重複,レア
drive ~ away,重複,推測可能
-driven,重複,レア
drop by ~,重複,推測可能
drop to one's knee,重複,推測可能
drop ~ off,重複,推測可能
dropping,重複,推測可能
due to ~,重複,推測可能
dugong,重複,レア
dullness,重複,推測可能
dusk,重複,推測可能
dustpan,重複,推測可能
each and every,重複,推測可能
eagerly,重複,推測可能
eat at home,重複,推測可能
eat out,重複,推測可能
eat up ~,重複,推測可能
eat ~ all (eat all ~),重複,推測可能
ecological,重複,推測可能
ecologist,重複,推測可能
economical,重複,推測可能
economics,重複,推測可能
edition,重複,推測可能
editor,重複,推測可能
educate,重複,推測可能
educated,重複,推測可能
educational,重複,推測可能
effective (in ~),重複,推測可能
efficiency,重複,推測可能
effortless,重複,推測可能
elbow,重複,推測可能
eliminate,重複,推測可能
elimination,重複,推測可能
embarrass oneself,重複,推測可能
embarrassing,重複,推測可能
emergency fund,重複,推測可能
emit,重複,推測可能
emoticon,重複,推測可能
emotional,重複,推測可能
emotionally,重複,推測可能
employ,重複,推測可能
emptiness,重複,推測可能
enable ~ to do,重複,推測可能
end up,重複,推測可能
end up doing,重複,推測可能
endangered,重複,推測可能
enduring,重複,推測可能
engaged,重複,推測可能
engine,重複,推測可能
English,重複,推測可能
enjoyable,重複,推測可能
enjoyment,重複,推測可能
enormously,重複,推測可能
enthusiastic (about ~),重複,推測可能
enthusiastically,重複,推測可能
entirely,重複,推測可能
entrance,重複,推測可能
envelop,重複,推測可能
envious,重複,推測可能
equip A with B,重複,
equivalent to ~,重複,推測可能
erasable ballpoint pen,重複,レア
erupt,重複,推測可能
established,重複,推測可能
establishment,重複,推測可能
ethical consumption,重複,推測可能
Europe,重複,レア
even more,重複,推測可能
even number,重複,推測可能
(even) though SV,重複,推測可能
evenly,重複,推測可能
event,重複,推測可能
eventually,重複,推測可能
ever after,重複,推測可能
every day,重複,推測可能
every other day,重複,推測可能
every time ...,重複,推測可能
every week,重複,推測可能
every year,重複,推測可能
every ~ years,重複,推測可能
ex-,重複,レア
exact,重複,推測可能
exactly,重複,推測可能
examination,重複,推測可能
exception (to ~),重複,推測可能
excessive,重複,推測可能
excited,重複,推測可能
exciting,重複,推測可能
exclusively,重複,推測可能
Excuse me.,重複,推測可能
exhausted,重複,推測可能
exhaustion,重複,推測可能
expand into ~,重複,推測可能
expect a high (low) of ~,重複,推測可能
experienced,重複,推測可能
expressive,重複,推測可能
extend,重複,推測可能
extension,重複,推測可能
extensive,重複,推測可能
extent,重複,推測可能
external,重複,推測可能
extraordinarily,重複,推測可能
extraterrestrial,重複,推測可能
fabric,重複,推測可能
facecloth,重複,推測可能
facial,重複,推測可能
facial expression,重複,推測可能
fade,重複,推測可能
fade away,重複,推測可能
fade-out,重複,推測可能
Fahrenheit,重複,推測可能
faint,重複,推測可能
fairly,重複,推測可能
fake,重複,推測可能
fall asleep,重複,推測可能
fall down,重複,推測可能
fall in love with ~,重複,推測可能
fall into ~,重複,推測可能
false,重複,推測可能
familiar to ~,重複,推測可能
familiar with ~,重複,推測可能
familiarize oneself with ~,重複,
fan,重複,推測可能
far away from ~,重複,推測可能
fashionable,重複,推測可能
fat,重複,推測可能
fatal,重複,推測可能
favor,重複,推測可能
favorable,重複,推測可能
favorite,重複,推測可能
federal,重複,推測可能
feed,重複,推測可能
feel better,重複,推測可能
feel dizzy (nauseous),重複,推測可能
feel like ...ing,重複,推測可能
feel like doing,重複,推測可能
feel sick,重複,推測可能
felt tip pen,重複,
ferry terminal,重複,推測可能
feverish,重複,推測可能
fierce,重複,推測可能
fiercely,重複,推測可能
figure out ~,重複,推測可能
figure ~ out,重複,推測可能
fill A with B,重複,推測可能
fill up ~,重複,推測可能
filling,重複,推測可能
finally,重複,推測可能
find out ~,重複,推測可能
finding(s),重複,
fine day,重複,
finish up with ~,重複,推測可能
fire engine,重複,推測可能
fire truck,重複,推測可能
firefly,重複,推測可能
fireworks display,重複,推測可能
firmly,重複,推測可能
first aid,重複,推測可能
first thing in the morning,重複,推測可能
first-aid,重複,推測可能
first-class,重複,推測可能
flow chart,重複,推測可能
flowerpot,重複,推測可能
fluently,重複,推測可能
fly into ~,重複,推測可能
focus on ~,重複,推測可能
foggy,重複,推測可能
folkcraft,重複,推測可能
folklore,重複,推測可能
following,重複,推測可能
fond memories,重複,
for a short time,重複,推測可能
for a while,重複,
for example,重複,推測可能
for free,重複,推測可能
for further inquiries,重複,推測可能
for instance,重複,推測可能
for more information,重複,推測可能
for now,重複,推測可能
for oneself,重複,
for starters,重複,
for sure,重複,推測可能
for the first time,重複,推測可能
for years,重複,
for your convenience,重複,推測可能
for your information,重複,推測可能
forbidden,重複,推測可能
foreign currency,重複,推測可能
formerly,重複,推測可能
fortunately,重複,推測可能
-free,重複,レア
freely,重複,推測可能
freeze to death,重複,推測可能
French,重複,推測可能
frequently,重複,推測可能
fresh coffee,重複,
freshman,重複,推測可能
Friday,重複,推測可能
fridge,重複,推測可能
fried,重複,推測可能
fried rice,重複,推測可能
from morning to evening,重複,推測可能
from now on,重複,推測可能
from one's perspective,重複,推測可能
front,重複,推測可能
front door,重複,推測可能
frustrated,重複,推測可能
frustrating,重複,推測可能
frying pan,重複,推測可能
fulfilling,重複,推測可能
fully,重複,推測可能
functional,重複,推測可能
fundamentals,重複,推測可能
fur,重複,推測可能
fur seal,重複,推測可能
furnish,重複,推測可能
further,重複,推測可能
fuss,重複,推測可能
gain,重複,推測可能
gardening,重複,推測可能
gender-free,重複,推測可能
generally,重複,推測可能
geometric,重複,推測可能
German,重複,推測可能
get along with ~,重複,推測可能
get around,重複,
get away from ~,重複,推測可能
get back to ~,重複,
get better,重複,推測可能
get close to ~,重複,推測可能
get dressed,重複,
get hungry,重複,推測可能
get in touch with ~,重複,推測可能
get in ~,重複,
get into ~,重複,
get it right,重複,推測可能
get mad,重複,
get married,重複,推測可能
get married (to ~),重複,推測可能
get off (~),重複,
get on ~,重複,
get out of ~,重複,
get over ~,重複,
get rid of ~,重複,
get sick,重複,推測可能
get some rest,重複,推測可能
get through ~,重複,推測可能
get to ...,重複,
get to know,重複,推測可能
get to ~,重複,
get together,重複,推測可能
get together with ~,重複,推測可能
get up,重複,
get used to ...ing,重複,
get used to ~,重複,
get well,重複,推測可能
get worse,重複,推測可能
give (A) a call,重複,
give (A) a hand,重複,推測可能
give a lecture,重複,推測可能
give a speech,重複,推測可能
give away ~,重複,推測可能
give in,重複,
give it a try,重複,
give out ~,重複,
give up on ~,重複,
give up ~,重複,
give ~ up,重複,
given,重複,推測可能
glance,重複,推測可能
glass-bottom boat,重複,推測可能
globally,重複,推測可能
go ahead,重複,推測可能
go around,重複,
go bad,重複,
go by (~),重複,
go down ~,重複,
go for a walk,重複,推測可能
go for it,重複,
go for ~,重複,
go get ~,重複,
go into training,重複,推測可能
go into ~,重複,
go on,重複,
go on vacation,重複,推測可能
go out,重複,
go out of business,重複,推測可能
go out with ~,重複,
go over ~,重複,
go shopping,重複,推測可能
go the way of ~,重複,
go through ~,重複,推測可能
go to bed,重複,推測可能
go to the office,重複,推測可能
go to the school to vote,重複,推測可能
go to work,重複,推測可能
go to ~,重複,
go toward ~,重複,推測可能
go up,重複,
Good afternoon.,重複,推測可能
Good for you.,重複,推測可能
Good luck!,重複,推測可能
Good morning.,重複,推測可能
goodbye,重複,推測可能
goose bumps,重複,推測可能
gradually,重複,推測可能
grandma,重複,推測可能
grandpa,重複,推測可能
grandparents,重複,推測可能
grate,重複,推測可能
Great job.,重複,推測可能
greatly,重複,推測可能
grieve,重複,推測可能
grocery,重複,推測可能
grown-up,重複,推測可能
Guess what?,重複,推測可能
gun,重複,推測可能
guy,重複,推測可能
gym,重複,推測可能
habitual,重複,推測可能
hair dryer,重複,推測可能
hairbrush,重複,推測可能
half an hour,重複,推測可能
half-price,重複,推測可能
hand out ~,重複,推測可能
hand ~ in,重複,推測可能
hand ~ out,重複,推測可能
handicraft,重複,推測可能
handmade,重複,推測可能
handout,重複,推測可能
hang,重複,推測可能
hangover,重複,推測可能
happen to ...,重複,推測可能
happening,重複,推測可能
happily,重複,推測可能
Happy birthday.,重複,推測可能
hardly,重複,推測可能
harmful (to ~),重複,推測可能
have (程度) to do with ~,重複,
have a blast,重複,
have a break,重複,推測可能
have a cold,重複,推測可能
have a cold (the flu; a fever),重複,推測可能
have a fever,重複,推測可能
have a good sleep,重複,推測可能
have a party,重複,推測可能
have a safe trip,重複,推測可能
Have a seat.,重複,推測可能
have a tendency to ...,重複,推測可能
have a ~ time,重複,推測可能
have an accident,重複,推測可能
have an allergy to ~ (milk; eggs),重複,
have been to ~,重複,
have fun,重複,推測可能
have fun ...ing,重複,推測可能
have no idea,重複,推測可能
have so much fun,重複,推測可能
have ~ for breakfast,重複,推測可能
health and physical education,重複,推測可能
health club,重複,推測可能
hear from ~,重複,推測可能
heat up ~,重複,
heatstroke,重複,推測可能
heavenly,重複,推測可能
hell,重複,推測可能
hello,重複,推測可能
help out,重複,推測可能
Help yourself.,重複,推測可能
Here we are.,重複,推測可能
Here you are.,重複,推測可能
Here's why.,重複,
hey,重複,推測可能
hi,重複,推測可能
hidden,重複,推測可能
high (low) blood pressure,重複,推測可能
highlight,重複,推測可能
highlighter,重複,推測可能
hip hop,重複,
hippopotamus,重複,推測可能
historical,重複,推測可能
hit the spot,重複,推測可能
hives,重複,レア
hold hands,重複,推測可能
hold on,重複,推測可能
home economics,重複,推測可能
homemade,重複,推測可能
homesick,重複,推測可能
honestly,重複,推測可能
hooded sweatshirt,重複,推測可能
hoodie,重複,推測可能
How about if ...?,重複,
How about ~?,重複,
How can I help you?,重複,
How did you come here?,重複,
How do I look?,重複,推測可能
How have you been?,重複,
How is ~ going?,重複,
How often ...?,重複,推測可能
How so?,重複,
how to ...,重複,
how to do,重複,
How's it going?,重複,
humidifier,重複,推測可能
hundreds of ~,重複,
hurry up,重複,推測可能
hydrangea,重複,レア
I agree.,重複,推測可能
I am sure (that) SV,重複,
I bet,重複,推測可能
I can't wait for ~,重複,推測可能
I didn't know that.,重複,
I have an idea.,重複,推測可能
I hope (that ...),重複,推測可能
I see what you mean.,重複,推測可能
I see.,重複,推測可能
"I think so, too.",重複,
I understand.,重複,推測可能
I wonder if ...,重複,推測可能
I'd be happy to ...,重複,推測可能
I'd like to ...,重複,推測可能
I'd say ...,重複,推測可能
I'm afraid ...,重複,推測可能
I'm in.,重複,
I'm not sure.,重複,推測可能
I'm sorry to hear that.,重複,推測可能
I've got to say ...,重複,推測可能
ice cream,重複,推測可能
ice skating,重複,推測可能
idealistic,重複,推測可能
ideally,重複,推測可能
identification,重複,推測可能
illegally,重複,推測可能
illogical,重複,推測可能
imagine ~ ...ing,重複,推測可能
immediately,重複,推測可能
imprison,重複,推測可能
improper,重複,推測可能
improvement,重複,推測可能
in 2020,重複,
in a good mood,重複,推測可能
in a month,重複,推測可能
in a sense,重複,推測可能
in advance,重複,推測可能
in all,重複,
in all directions,重複,
in any case,重複,推測可能
in bulk,重複,
in control of ~,重複,推測可能
in effect,重複,推測可能
in English,重複,推測可能
in exchange for ~,重複,推測可能
in front of ~,重複,推測可能
in front of ~ 355,重複,推測可能
in half,重複,
in honor of ~,重複,推測可能
in memory of ~,重複,推測可能
in my twenties,重複,
in no case,重複,推測可能
in one's free time,重複,推測可能
in one's imagination,重複,推測可能
in one's opinion,重複,推測可能
in operation,重複,推測可能
in person,重複,推測可能
in preference to ~,重複,推測可能
in search of ~,重複,推測可能
in the 2020s[2020's],重複,
in the afternoon,重複,推測可能
in the air,重複,推測可能
in the beginning,重複,推測可能
in the evening,重複,推測可能
in the event of ~,重複,推測可能
in the front of ~,重複,推測可能
in the future,重複,推測可能
in the morning,重複,推測可能
in the past,重複,推測可能
in the same way,重複,推測可能
in the world,重複,推測可能
in this way,重複,
in those days,重複,
in time (for ~),重複,推測可能
in ~ shape,重複,推測可能
inadequate,重複,推測可能
inappropriate,重複,推測可能
incessant,重複,推測可能
incidental,重複,推測可能
incorporate,重複,推測可能
increasingly,重複,推測可能
indication,重複,推測可能
indignant,重複,推測可能
industrial,重複,推測可能
inferior to ~,重複,推測可能
inform (A) (that) SV,重複,
inform (A) of ~,重複,
informative,重複,推測可能
initial,重複,推測可能
initialize,重複,推測可能
initially,重複,推測可能
initiate,重複,推測可能
instinct,重複,推測可能
instinctive,重複,推測可能
institute,重複,推測可能
intend to ...,重複,推測可能
intentionally,重複,推測可能
internally,重複,推測可能
internationally,重複,推測可能
internist,重複,推測可能
invader,重複,推測可能
ironically,重複,推測可能
irony,重複,推測可能
Is that right?,重複,推測可能
Is that so?,重複,
Is that you?,重複,
it comes with ~,重複,
It is a known fact that ...,重複,
It just goes to show that ...,重複,
it seems that ...,重複,
it turns out (that) ...,重複,
It's been a while since ...,重複,
It's good to see you.,重複,推測可能
it's time for ~,重複,推測可能
January,重複,推測可能
Japan Self-Defense Forces,重複,レア
Japanese,重複,推測可能
Japanese history,重複,推測可能
Japanese language,重複,推測可能
Japanese pear,重複,推測可能
Japanese plum (blossoms),重複,
Japanese radish,重複,推測可能
jobless,重複,推測可能
