example_id,word,en1,en2,ja1,ja2,stage,voice1,voice2
e0040,else,What else do you want for your birthday?,Maybe some new books!,誕生日に他に何がほしいの？,新しい本とかかな！,1,Ivy,Ruth
e0041,first of all,"First of all, let's wash our hands.","Okay, then can we make cookies?",まず最初に、手を洗おうね。,うん、それからクッキー作っていい？,1,Ivy,Ruth
e0042,return,When does Dad return from his trip?,Tomorrow night! I can't wait!,パパは旅行からいつ帰ってくるの？,明日の夜だよ！待ちきれない！,1,Ivy,Ruth
e0043,I hope,I hope it doesn't rain tomorrow.,Me too! I want to go to the park.,明日、雨が降らないといいな。,私も！公園に行きたいもん。,1,Ivy,Ruth
e0044,arrive,When will Grandma arrive?,She'll be here in about ten minutes!,おばあちゃんはいつ着くの？,あと10分くらいで来るよ！,1,Ivy,Ruth
e0045,quick,Let's take a quick break!,Good idea! I'm so tired.,ちょっと休憩しようよ！,いいね！すごく疲れた。,1,Ivy,Ruth
e0046,example,Can you give me an example?,"Sure, for example, a dog is an animal.",例を一つ挙げてくれる？,いいよ、例えば犬は動物だよ。,1,Ivy,Ruth
e0047,close,Can you close the window? It's cold!,"Sure, no problem!",窓を閉めてくれる？寒いの！,いいよ、お安いご用！,1,Ivy,Ruth
e0048,important,It's important to brush your teeth every day.,"I know, Mom! I do it twice!",毎日歯を磨くのは大事だよ。,わかってるよ、ママ！1日2回磨いてるもん！,1,Ivy,Ruth
e0049,You mean,You mean we don't have school tomorrow?,Yes! It's a holiday!,つまり明日は学校がないってこと？,そう！お休みだよ！,1,Ivy,Ruth
e0050,business,My dad started a small business.,"Wow, that's so cool! What does he sell?",パパが小さな会社を始めたんだ。,わぁ、かっこいい！何を売ってるの？,1,Ivy,Ruth
e0051,science,Science is my favorite subject!,Cool! What are you studying now?,理科が一番好きな科目なんだ！,いいね！今は何を勉強してるの？,1,Ivy,Ruth
e0052,cover,Don't forget to cover the food in the fridge!,"Oh right, thanks for reminding me!",冷蔵庫の食べ物にフタするの忘れないでね！,あ、そうだ、教えてくれてありがとう！,1,Ivy,Ruth
e0053,What a surprise!,Look who's here! Grandma came to visit!,What a surprise! I missed her so much!,見て、誰が来たと思う？おばあちゃんが遊びに来たよ！,なんてうれしい驚き！すごく会いたかったの！,1,Ivy,Ruth
e0054,best,You're my best friend!,"Aw, you're mine too!",きみは私のいちばんの親友だよ！,えへへ、私もだよ！,1,Ivy,Ruth
e0055,early,Wake up early tomorrow! We're going hiking!,Yay! I can't wait!,明日は早起きしてね！ハイキングに行くよ！,やったぁ！待ちきれない！,1,Ivy,Ruth
e0056,world,I want to travel around the world someday.,Me too! Let's go together!,いつか世界中を旅したいな。,私も！一緒に行こうよ！,1,Ivy,Ruth
e0057,others,"Some kids like soccer, but others love drawing.","Yeah, everyone is different!",サッカーが好きな子もいれば、絵が大好きな子もいるね。,うん、みんなそれぞれだね！,1,Ivy,Ruth
e0058,face,Wash your face before breakfast!,"Okay, Mom! I'm going now.",朝ごはんの前に顔を洗ってね！,はーい、ママ！今行くよ。,1,Ivy,Ruth
e0059,kill,Don't kill that bug! Just put it outside.,"Okay, you're right. Sorry, bug!",その虫を殺さないで！外に出してあげよう。,そうだね、ごめんね、虫さん！,1,Ivy,Ruth
e0060,Nice to meet you,"Hi, I'm Mia! Nice to meet you!",Nice to meet you too! I'm Sora.,こんにちは、ミアだよ！はじめまして！,こちらこそはじめまして！ソラだよ。,1,Ivy,Ruth
e0061,once,I've been to Tokyo only once.,Was it fun?,東京には一回だけ行ったことがあるよ。,楽しかった？,1,Ivy,Ruth
e0062,promise,Promise me you won't tell anyone!,I promise! Your secret is safe with me.,誰にも言わないって約束して！,約束する！秘密は守るよ。,1,Ivy,Ruth
e0063,pay,Mom said she'll pay for the movie tickets!,"Yay! Thank you, Mom!",ママが映画のチケット代を払ってくれるって！,やったぁ！ありがとう、ママ！,1,Ivy,Ruth
e0064,everyone,Everyone in my class likes the new teacher.,Cool! What makes her so special?,クラスのみんな、新しい先生が好きなんだ。,いいね！どんなところが素敵なの？,1,Ivy,Ruth
e0065,That makes sense.,We can't go because it's raining hard.,"Oh, that makes sense.",雨が強いから行けないんだ。,あぁ、それなら仕方ないね。,1,Ivy,Ruth
e0066,something,Can I get you something to drink?,Yes please! Water would be great.,何か飲み物いる？,うん、お願い！お水がいいな。,1,Ivy,Ruth
e0067,cold,"Brrr, my hands are so cold!","Here, take my gloves.",ぶるぶる、手がすごく冷たい！,はい、私の手袋を使って。,1,Ivy,Ruth
e0068,like,I like math the best of all subjects.,Really? It's so hard for me!,全科目の中で算数が一番好き。,ほんと？私にはすごく難しいよ！,1,Ivy,Ruth
e0069,since,I've been waiting since 9 o'clock!,Sorry I'm late! The bus was slow.,9時からずっと待ってたんだよ！,遅れてごめん！バスが遅くて。,1,Ivy,Ruth
e0070,have a party,Let's have a party for Mom's birthday!,Yes! I'll make a cake!,ママの誕生日にパーティーしようよ！,うん！私がケーキ作るね！,1,Ivy,Ruth
e0071,able to,I want to be able to swim like you!,I can teach you! It's not that hard.,きみみたいに泳げるようになりたいな！,教えてあげるよ！そんなに難しくないから。,1,Ivy,Ruth
e0072,free,Are you free this Saturday?,Yes! Let's hang out!,今度の土曜、ひま？,うん！一緒に遊ぼう！,1,Ivy,Ruth
e0073,delicious,"Wow, this cake is so delicious!",Right? My grandma made it!,わぁ、このケーキすごくおいしい！,でしょ？おばあちゃんが作ったんだ！,1,Ivy,Ruth
e0074,draw a picture,Let's draw a picture together!,Yes! I want to draw a unicorn!,一緒に絵を描こうよ！,うん！ユニコーンを描きたい！,1,Ivy,Ruth
e0075,Good for you,I finally learned to ride a bike!,Good for you! That's awesome!,やっと自転車に乗れるようになったんだ！,よかったね！すごいじゃん！,1,Ivy,Ruth
e0076,red,Why is your face so red?,I ran here all the way from school!,なんで顔がそんなに赤いの？,学校からずっと走ってきたんだ！,1,Ivy,Ruth
e0077,real,Is that diamond real?,Of course not! It's just plastic.,そのダイヤモンド、本物？,まさか！ただのプラスチックだよ。,1,Ivy,Ruth
e0078,human,"Dogs are so smart, almost like a human!","I know, right? My dog understands everything.",犬ってすごく賢いよね、まるで人間みたい！,ほんとだよね？うちの犬、何でもわかるんだ。,1,Ivy,Ruth
e0079,decided that,I decided that I want to be a vet someday.,Cool! You love animals so much.,いつか獣医になろうって決めたんだ。,いいね！動物が大好きだもんね。,1,Ivy,Ruth
e0080,idea,That's such a great idea!,Thanks! I just thought of it.,それ、すごくいいアイデアだね！,ありがとう！今思いついたんだ。,1,Ivy,Ruth
e0081,either,I don't like math either.,Right? It's so boring!,私も算数は好きじゃないな。,だよね？すごくつまらないもん！,1,Ivy,Ruth
e0082,everybody,"Everybody, listen up!","Wait, what's going on?",みんな、聞いて！,え、どうしたの？,1,Ivy,Ruth
e0083,because of,We can't go outside because of the rain.,"Aw man, what should we do instead?",雨だから外に行けないね。,あーあ、代わりに何しようか？,1,Ivy,Ruth
e0084,at all,I'm not tired at all!,"Wow, you have so much energy!",ぜんぜん疲れてないよ！,わぁ、すごい元気だね！,1,Ivy,Ruth
e0085,enough,Do you have enough money for the snack?,"Yes, just enough! Thanks for checking.",おやつを買うのに十分なお金ある？,うん、ちょうど足りる！確認ありがとう。,1,Ivy,Ruth
e0086,agree,I think pizza is the best food ever.,Totally agree! Especially with extra cheese!,ピザって世界一おいしい食べ物だと思う。,完全に同意！特にチーズ多めのやつ！,1,Ivy,Ruth
e0087,well done,"Look, I cleaned my room all by myself!",Well done! It looks great.,見て、自分一人で部屋を片付けたよ！,よくできました！すごくきれいだね。,1,Ivy,Ruth
e0088,Come in,Knock knock! Are you home?,Come in! The door's open.,トントン、いる？,入って！鍵は開いてるよ。,1,Ivy,Ruth
e0089,possible,Is it possible to finish this by tomorrow?,"I think so, if we work together!",これ、明日までに終わらせるの可能かな？,協力すればできると思う！,1,Ivy,Ruth
e0090,all day long,It rained all day long yesterday.,I know! I was so bored at home.,昨日は一日中雨だったね。,ほんと！家ですごく退屈だったよ。,1,Ivy,Ruth
e0091,get up,It's hard to get up on cold mornings.,I know! I want to stay in bed forever.,寒い朝に起きるのってつらいよね。,わかる！ずっとベッドにいたい。,1,Ivy,Ruth
e0092,full of,Look! The sky is full of stars tonight!,"Wow, so beautiful! Let's count them!",見て！今夜は空が星でいっぱいだよ！,わぁ、きれい！数えてみようよ！,1,Ivy,Ruth
e0093,point,What's the point of this game?,You have to find all the hidden coins!,このゲームの目的って何なの？,隠れてるコインを全部見つけるんだよ！,1,Ivy,Ruth
e0094,human being,Every human being deserves kindness.,That's a beautiful thing to say.,どんな人も優しくされるべきだよ。,それ、すてきな言葉だね。,1,Ivy,Ruth
e0095,far,Is your school far from here?,"Not really, just a 10-minute walk.",学校はここから遠いの？,そうでもないよ、歩いて10分くらい。,1,Ivy,Ruth
e0096,eat at home,Let's eat at home tonight. I'm too tired to go out.,Sure! I'll help you cook.,今夜は家で食べようよ。出かけるには疲れすぎちゃった。,いいよ！料理手伝うね。,1,Ivy,Ruth
e0097,stand,"Stand up, everyone! It's time for the song.","Okay, here we go!",みんな、立って！歌の時間だよ。,はーい、いくよ！,1,Ivy,Ruth
e0098,decide,Have you decided what to eat?,"Not yet, everything looks so good!",何食べるか決めた？,まだ！全部おいしそうなんだもん。,1,Ivy,Ruth
e0099,brush,Did you brush your teeth before bed?,"Oops, not yet! I'll do it now.",寝る前に歯を磨いた？,あっ、まだ！今やるよ。,1,Ivy,Ruth
e0100,matter,What's the matter? You look sad.,I broke my new toy...,どうしたの？悲しそうだよ。,新しいおもちゃを壊しちゃって…,1,Ivy,Ruth
e0101,hit,Don't hit your brother!,He started it! He took my toy!,弟をたたいちゃダメ！,あいつが先に始めたんだ！おもちゃ取られた！,1,Ivy,Ruth
e0102,strong,"Wow, you're so strong! Can you lift this box?","Sure, no problem!",わぁ、力持ちだね！この箱持てる？,もちろん、お安いご用！,1,Ivy,Ruth
e0103,popular,This song is so popular at school!,I know! Everyone sings it!,この歌、学校ですごく人気なんだ！,だよね！みんな歌ってる！,1,Ivy,Ruth
e0104,meet,Where should we meet tomorrow?,How about at the school gate?,明日どこで待ち合わせる？,校門のところでどう？,1,Ivy,Ruth
e0105,Congratulations!,I got first place in the race!,Congratulations! That's amazing!,かけっこで1位になったよ！,おめでとう！すごいじゃん！,1,Ivy,Ruth
e0106,because,I love summer because I can swim every day!,Same! I can't wait for vacation!,夏は毎日泳げるから大好き！,同じ！休みが待ちきれないよ！,1,Ivy,Ruth
e0107,hate,I hate spiders so much!,Me too! They're so scary!,クモがほんと大嫌い！,私も！すごく怖いよね！,1,Ivy,Ruth
e0108,It's good to see you,Long time no see!,It's good to see you again!,久しぶりだね！,また会えてうれしいよ！,1,Ivy,Ruth
e0109,space,Move your bag. There's no space for me.,"Oh, sorry!",バッグをどけて。私の場所がないよ。,あ、ごめん！,1,Ivy,Ruth
e0110,dead,"Oh no, my phone is dead!","Here, you can borrow my charger.",やばい、スマホの充電が切れちゃった！,はい、私の充電器貸すよ。,1,Ivy,Ruth
e0111,spend,How much money did you spend at the store?,About 500 yen on snacks.,お店でいくら使ったの？,おやつに500円くらい。,1,Ivy,Ruth
e0112,all right,Are you all right? You look sad.,I just had a bad day at school...,大丈夫？悲しそうだよ。,学校でちょっと嫌なことがあって…,1,Ivy,Ruth
e0113,less,Eat less candy. It's bad for your teeth!,"Just one more piece, please!",お菓子を減らしなさい。歯に悪いよ！,あと一個だけ、お願い！,1,Ivy,Ruth
e0114,change,I want to change my clothes. They're all wet!,"Here, use this towel first!",服を着替えたい。びしょ濡れなんだ！,はい、まずこのタオル使って！,1,Ivy,Ruth
e0115,difficult,This math problem is too difficult!,Don't give up! I'll help you.,この算数の問題、難しすぎる！,あきらめないで！手伝ってあげる。,1,Ivy,Ruth
e0116,I'm sorry to hear that.,My grandpa is in the hospital.,"Oh no, I'm sorry to hear that.",おじいちゃんが入院してるんだ。,えぇ、それは大変だね。,1,Ivy,Ruth
e0117,take a picture,Let's take a picture of this rainbow!,Yes! Smile for the camera!,この虹の写真撮ろうよ！,うん!カメラに向かって笑って！,1,Ivy,Ruth
e0118,age,What's your dog's age?,He's five! But he still acts like a puppy.,きみの犬、何歳なの？,5歳だよ！でもまだ子犬みたいなんだ。,1,Ivy,Ruth
e0119,stay home,I'm going to stay home today. I have a headache.,"Aw, feel better soon!",今日は家にいるよ。頭が痛くて。,あぁ、早くよくなってね。,1,Ivy,Ruth
e0120,probably,Will it rain tomorrow?,Probably. Bring your umbrella just in case.,明日は雨降るかな？,たぶんね。念のため傘を持っていって。,1,Ivy,Ruth
e0121,number,What's your favorite number?,Seven! It's my lucky one.,好きな数字は何？,7！私のラッキーナンバーなんだ。,1,Ivy,Ruth
e0122,believe,I can't believe we won the game!,"I know, right?! That was amazing!",試合に勝てたなんて信じられない！,だよね！すごかったよね！,1,Ivy,Ruth
e0123,come on in,"Hi! Come on in, the snacks are ready!","Yay, thanks for inviting me!",やあ！入って入って、おやつができたよ！,やったぁ、呼んでくれてありがとう！,1,Ivy,Ruth
e0124,take a look at,Take a look at this funny video!,"Haha, that puppy is so cute!",この面白い動画を見て！,あはは、その子犬すごくかわいい！,1,Ivy,Ruth
e0125,go on,Please go on with your story!,"Okay, so then the dog jumped over the fence...",続きを話して！,うん、それでね、犬がフェンスを飛び越えたんだ…,1,Ivy,Ruth
e0126,finally,Yes! I finally finished my homework!,Nice! Now let's go play outside!,やった！やっと宿題が終わった！,いいね！じゃあ外で遊ぼう！,1,Ivy,Ruth
e0127,and so on,"I packed snacks, water, a map, and so on.","Wow, you're ready for the trip!",おやつ、水、地図、とかを詰めたよ。,わぁ、旅行の準備バッチリだね！,1,Ivy,Ruth
e0128,corner,Turn left at the next corner!,Got it! Thanks for the directions.,次の角を左に曲がってね！,了解！道案内ありがとう。,1,Ivy,Ruth
e0129,about,What are you reading about?,Dinosaurs! Look at this huge T-Rex!,何の本を読んでるの？,恐竜だよ！この大きなティラノサウルス見て！,1,Ivy,Ruth
e0130,have to do,I have to do my homework before dinner.,Need help with it?,夕ごはんの前に宿題やらなきゃ。,手伝おうか？,1,Ivy,Ruth
e0131,second,"Wait a second, I'm coming!",Hurry up! The bus is here!,ちょっと待って、今行く！,急いで！バスが来たよ！,1,Ivy,Ruth
e0132,younger,My younger brother is so funny!,How old is he?,私の弟、すごく面白いんだ！,何歳なの？,1,Ivy,Ruth
e0133,travel,I want to go traveling around the world!,Same! Where should we go first?,世界中を旅したいな！,同じ！まずどこ行こうか？,1,Ivy,Ruth
e0134,a lot,Thanks a lot for helping me!,No problem! That's what friends are for.,手伝ってくれて本当にありがとう！,どういたしまして！友だちだもん。,1,Ivy,Ruth
e0135,almost,Hurry up! The bus is almost here!,"Wait, I forgot my lunch box!",急いで！バスがもうすぐ来るよ！,待って、お弁当忘れた！,1,Ivy,Ruth
e0136,buy,"Mom, can you buy me this game?","Maybe for your birthday, okay?",ママ、このゲーム買ってくれる？,誕生日にね、いい？,1,Ivy,Ruth
e0137,different,Your bag is so different from mine!,"Yeah, my sister made it for me.",きみのバッグ、私のとぜんぜん違うね！,うん、お姉ちゃんが作ってくれたんだ。,1,Ivy,Ruth
e0138,I have an idea,I'm bored. What should we do?,I have an idea! Let's build a fort!,退屈だなぁ。何しよう？,いいこと思いついた！秘密基地を作ろう！,1,Ivy,Ruth
e0139,borrow,Can I borrow your eraser?,"Sure, here you go!",消しゴム借りてもいい？,いいよ、はいどうぞ！,1,Ivy,Ruth
e0140,dirty,Your shoes are so dirty!,"Yeah, I was playing in the mud.",靴がすごく汚れてるよ！,うん、泥んこで遊んでたんだ。,1,Ivy,Ruth
e0141,get hungry,I always get hungry after swimming.,Same! Let's grab some lunch.,泳いだあとはいつもお腹がすくんだ。,同じ！お昼ごはん食べに行こう。,1,Ivy,Ruth
e0142,made friends,I made friends with the new kid today!,That's so nice of you!,今日、転校生と友だちになったよ！,えらいね！,1,Ivy,Ruth
e0143,look like,You look like your mom!,Really? People say that a lot!,ママにそっくりだね！,ほんと？よく言われるんだ！,1,Ivy,Ruth
e0144,How can I help you?,"Excuse me, how can I help you?",I'm looking for the kids' books.,すみません、何かお探しですか？,子ども向けの本を探してるんです。,1,Ivy,Ruth
e0145,a little,I'm a little scared of the dark.,"Don't worry, I'll stay with you.",暗いのがちょっと怖いんだ。,大丈夫、一緒にいてあげるよ。,1,Ivy,Ruth
e0146,before,"Wash your hands before dinner, please!","Okay, Mom! I'm going now.",夕ごはんの前に手を洗ってね！,はーい、ママ！今行くよ。,1,Ivy,Ruth
e0147,end,Don't tell me the end of the movie!,"Oops, sorry! I won't say anything.",映画の結末を言わないで！,あっ、ごめん!何も言わないよ。,1,Ivy,Ruth
e0148,try my best,I'll try my best in the race tomorrow!,Good luck! You'll do great!,明日のかけっこ、全力でがんばる！,がんばって！きっとうまくいくよ！,1,Ivy,Ruth
e0149,ask,Can I ask you a question?,"Sure, what is it?",質問してもいい？,いいよ、何？,1,Ivy,Ruth
e0150,new,Did you hear the news? Our team won!,Yes! That's awesome!,ニュース聞いた？私たちのチームが勝ったよ！,うん!最高だね！,1,Ivy,Ruth
e0151,action,I love action movies!,Me too! The fight scenes are the best.,アクション映画が大好き！,私も！戦うシーンが一番いいよね。,1,Ivy,Ruth
e0152,happily,My dog is happily playing in the yard.,"Aww, dogs are so cute!",うちの犬が庭で楽しそうに遊んでる。,あぁ、犬ってほんとかわいいね！,1,Ivy,Ruth
e0153,light,Can you turn off the light? I want to sleep.,"Sure, good night!",電気消してくれる？寝たいの。,いいよ、おやすみ！,1,Ivy,Ruth
e0154,company,My mom works at a big company.,Cool! What does she do there?,ママは大きな会社で働いてるんだ。,いいね！そこで何してるの？,1,Ivy,Ruth
e0155,explain,Can you explain this math problem to me?,"Sure, let me show you step by step.",この算数の問題、説明してくれる？,いいよ、一歩ずつ教えてあげる。,1,Ivy,Ruth
e0156,job,My dad has a new job!,Cool! What does he do?,パパが新しい仕事を始めたんだ！,いいね！何してるの？,1,Ivy,Ruth
e0157,online,Let's play games online tonight!,Yes! I'll send you a message later.,今夜オンラインでゲームしようよ！,うん！あとでメッセージ送るね。,1,Ivy,Ruth
e0158,able,"Wow, you're able to swim already?",Yeah! My dad taught me last summer.,わぁ、もう泳げるの？,うん！去年の夏にパパが教えてくれたんだ。,1,Ivy,Ruth
e0159,past,We learned about the past in history class today.,Cool! What did you learn?,今日、歴史の授業で昔のことを習ったよ。,いいね！何を習ったの？,1,Ivy,Ruth
e0160,come from,Where do you come from?,I come from Osaka! Have you been there?,どこの出身なの？,大阪だよ！行ったことある？,1,Ivy,Ruth
e0161,someone,Someone is at the door!,I'll go see who it is.,誰かが玄関にいるよ！,誰か見てくるね。,1,Ivy,Ruth
e0162,guy,Who's that guy over there?,"Oh, that's my cousin. He's nice!",あそこにいる人、誰？,あぁ、私のいとこだよ。優しいんだ！,1,Ivy,Ruth
e0163,large,This pizza is so large!,Yay! More for everyone!,このピザ、すごく大きい！,やった!みんなの分があるね！,1,Ivy,Ruth
e0164,anybody,Is anybody home?,"Yeah, I'm in the kitchen!",誰か家にいる？,うん、台所にいるよ！,1,Ivy,Ruth
e0165,add,Can you add some sugar to my tea?,"Sure, how many spoons?",お茶にお砂糖を足してくれる？,いいよ、スプーン何杯？,1,Ivy,Ruth
e0166,easily,I can easily finish this puzzle!,"No way, it's so hard!",このパズル、簡単に終わらせられるよ！,えー、すごく難しいのに！,1,Ivy,Ruth
e0167,year,I'll be ten years old next year.,Really? Me too!,来年で10歳になるんだ。,ほんと？私も！,1,Ivy,Ruth
e0168,could,"Could you pass me the salt, please?","Sure, here you go!",お塩を取ってくれますか？,はい、どうぞ！,1,Ivy,Ruth
e0169,goodbye,Don't forget to say goodbye to Grandma!,Bye Grandma! See you soon!,おばあちゃんにさよならを言うの忘れないでね！,バイバイ、おばあちゃん！またね！,1,Ivy,Ruth
e0170,body,"Ouch, my whole body hurts after gym class!",Same! That coach is so tough.,いたた、体育のあと体じゅうが痛いよ！,同じ！あのコーチ厳しいよね。,1,Ivy,Ruth
e0171,care,I don't care if I lose. I just want to have fun!,That's a great attitude!,負けても気にしないよ。ただ楽しみたいんだ！,いい考え方だね！,1,Ivy,Ruth
e0172,How have you been?,Hey! Long time no see! How have you been?,Pretty good! How about you?,やあ！久しぶり！元気だった？,まあまあかな！そっちは？,1,Ivy,Ruth
e0173,one,I want to visit the moon one day!,Cool! Maybe you'll be an astronaut!,いつか月に行きたいな！,いいね!宇宙飛行士になれるかもよ！,1,Ivy,Ruth
e0174,slowly,Walk slowly! It's slippery here.,"Okay, I'll be careful.",ゆっくり歩いて！ここ滑りやすいよ。,うん、気をつける。,1,Ivy,Ruth
e0175,"No, thank you.",Want some more cake?,"No, thank you. I'm so full!",ケーキもっといる？,いえ、けっこうです。お腹いっぱい！,1,Ivy,Ruth
e0176,also,I love drawing. I also like painting.,Cool! You should join the art club!,絵を描くのが大好き。塗るのも好きなんだ。,いいね！美術部に入りなよ！,1,Ivy,Ruth
e0177,get married,My sister is going to get married next year!,"Wow, that's so exciting!",お姉ちゃんが来年結婚するんだ！,わぁ、楽しみだね！,1,Ivy,Ruth
e0178,continue,Should we continue the game tomorrow?,Yes! I want to win this time!,ゲームの続きは明日にする？,うん！今度こそ勝ちたい！,1,Ivy,Ruth
e0179,hear,Did you hear that sound?,Yeah! What was it?,あの音、聞こえた？,うん！何だろう？,1,Ivy,Ruth
e0180,healthy,Eat vegetables! They keep you healthy.,"Okay, Mom. I'll finish my salad.",野菜を食べなさい!健康でいられるよ。,はーい、ママ。サラダ食べきるよ。,1,Ivy,Ruth
