question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second,highlight_chips
e0431,va0216,look up,Can you look up the weather for tomorrow?,"Sure, one second.",明日の天気調べてくれる？,うん、ちょっと待って。,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, one second.",Can you look up the weather for tomorrow?,Can|you|look|up|the|weather|for|tomorrow?,e0431-a.mp3,e0431-b.mp3,1,user,Matthew.png,right,left,look|up
e0432,va0216,look up,I looked up the word in the dictionary.,,辞書でその単語調べたよ。,,Ivy,,1,Ivy,,___________,,I looked up the word in the dictionary.,I|looked|up|the|word|in|the|dictionary.,e0432-a.mp3,,1,user,,right,none,looked|up
e0433,va0217,dress,I love your dress!,"Thanks, my mom picked it out.",そのワンピース素敵！,ありがとう、お母さんが選んでくれたんだ。,Ivy,Ruth,1,Ivy,Ruth,___________,"Thanks, my mom picked it out.",I love your dress!,I|love|your|dress!,e0433-a.mp3,e0433-b.mp3,1,user,05.png,right,left,dress!
e0434,va0217,dress,"You should dress warmly, it's cold outside.",,外は寒いから暖かい服装をしたほうがいいよ。,,Matthew,,1,Matthew,,___________,,"You should dress warmly, it's cold outside.","You|should|dress|warmly,|it's|cold|outside.",e0434-a.mp3,,1,Matthew.png,,left,none,dress
e0435,va0218,address,What's your address?,I'll text it to you.,住所どこ？,メッセージで送るね。,Kevin,Ivy,1,Kevin,Ivy,___________,I'll text it to you.,What's your address?,What's|your|address?,e0435-a.mp3,e0435-b.mp3,1,Kevin.png,user,left,right,address?
e0436,va0218,address,Please write your address clearly on the form.,,用紙に住所をはっきり書いてください。,,Ruth,,1,Ruth,,___________,,Please write your address clearly on the form.,Please|write|your|address|clearly|on|the|form.,e0436-a.mp3,,1,05.png,,left,none,address
e0437,va0219,show,Can you show me how to do this?,"Sure, watch closely!",これのやり方教えてくれる？,うん、よく見ててね！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, watch closely!",Can you show me how to do this?,Can|you|show|me|how|to|do|this?,e0437-a.mp3,e0437-b.mp3,1,user,Kevin.png,right,left,show
e0438,va0219,show,That was such a great show last night.,,昨日の番組、本当に良かったね。,,Ivy,,1,Ivy,,___________,,That was such a great show last night.,That|was|such|a|great|show|last|night.,e0438-a.mp3,,1,user,,right,none,show
e0439,va0220,correct,Is this the correct answer?,"Yep, that's right!",これ正しい答え？,うん、合ってるよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yep, that's right!",Is this the correct answer?,Is|this|the|correct|answer?,e0439-a.mp3,e0439-b.mp3,1,user,Kevin.png,right,left,correct
e0440,va0220,correct,Let me correct a small mistake in my essay.,,作文の小さな間違いを直させて。,,Ivy,,1,Ivy,,___________,,Let me correct a small mistake in my essay.,Let|me|correct|a|small|mistake|in|my|essay.,e0440-a.mp3,,1,user,,right,none,correct
e0441,va0221,lot,We have a lot of homework tonight.,"Ugh, I know, it's so much.",今夜宿題たくさんあるね。,うわ、そうなんだよ、すごい量。,Ivy,Kevin,1,Ivy,Kevin,___________,"Ugh, I know, it's so much.",We have a lot of homework tonight.,We|have|a|lot|of|homework|tonight.,e0441-a.mp3,e0441-b.mp3,1,user,Kevin.png,right,left,lot
e0442,va0221,lot,Thanks a lot for helping me move.,,引っ越し手伝ってくれて本当にありがとう。,,Ivy,,1,Ivy,,___________,,Thanks a lot for helping me move.,Thanks|a|lot|for|helping|me|move.,e0442-a.mp3,,1,user,,right,none,lot
e0443,va0222,ever,Have you ever been to Okinawa?,"Not yet, but I really want to go!",沖縄に行ったことある？,まだないけど、すごく行ってみたい！,Ivy,Kevin,1,Ivy,Kevin,___________,"Not yet, but I really want to go!",Have you ever been to Okinawa?,Have|you|ever|been|to|Okinawa?,e0443-a.mp3,e0443-b.mp3,1,user,Kevin.png,right,left,ever
e0444,va0222,ever,This is the best pizza I've ever had.,,これ今まで食べた中で一番美味しいピザだよ。,,Ivy,,1,Ivy,,___________,,This is the best pizza I've ever had.,This|is|the|best|pizza|I've|ever|had.,e0444-a.mp3,,1,user,,right,none,ever
e0445,va0223,homework,Did you finish your homework?,"Almost, just one page left!",宿題終わった？,もうすぐ、あと1ページ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Almost, just one page left!",Did you finish your homework?,Did|you|finish|your|homework?,e0445-a.mp3,e0445-b.mp3,1,user,Kevin.png,right,left,homework?
e0446,va0223,homework,I forgot my homework at home again.,,また宿題を家に忘れちゃった。,,Ivy,,1,Ivy,,___________,,I forgot my homework at home again.,I|forgot|my|homework|at|home|again.,e0446-a.mp3,,1,user,,right,none,homework
e0447,va0224,get married,When are you and your boyfriend getting married?,Maybe next year!,彼氏といつ結婚するの？,たぶん来年！,Kevin,Ivy,1,Kevin,Ivy,___________,Maybe next year!,When are you and your boyfriend getting married?,When|are|you|and|your|boyfriend|getting|married?,e0447-a.mp3,e0447-b.mp3,1,Kevin.png,user,left,right,getting|married?
e0448,va0224,get married,My sister got married last spring.,,私の姉、去年の春結婚したんだ。,,Ivy,,1,Ivy,,___________,,My sister got married last spring.,My|sister|got|married|last|spring.,e0448-a.mp3,,1,user,,right,none,got|married
e0449,va0225,miss,I miss my old friends from elementary school.,"Same, we should have a reunion.",小学校の頃の友達が恋しいな。,私も、同窓会やろうよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Same, we should have a reunion.",I miss my old friends from elementary school.,I|miss|my|old|friends|from|elementary|school.,e0449-a.mp3,e0449-b.mp3,1,user,Kevin.png,right,left,miss
e0450,va0225,miss,"You just missed the bus, it left two minutes ago.",,バス乗り遅れちゃったね、2分前に出たよ。,,Ivy,,1,Ivy,,___________,,"You just missed the bus, it left two minutes ago.","You|just|missed|the|bus,|it|left|two|minutes|ago.",e0450-a.mp3,,1,user,,right,none,missed
e0451,va0226,weather,How's the weather today?,Sunny but a bit windy!,今日の天気どう？,晴れてるけど、ちょっと風強いよ！,Ivy,Kevin,1,Ivy,Kevin,___________,Sunny but a bit windy!,How's the weather today?,How's|the|weather|today?,e0451-a.mp3,e0451-b.mp3,1,user,Kevin.png,right,left,weather
e0452,va0226,weather,This weather is perfect for a picnic.,,この天気はピクニックにぴったりだね。,,Ivy,,1,Ivy,,___________,,This weather is perfect for a picnic.,This|weather|is|perfect|for|a|picnic.,e0452-a.mp3,,1,user,,right,none,weather
e0453,va0227,top,Can you reach the top shelf?,"Yeah, I've got it.",一番上の棚に手届く？,うん、届いたよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, I've got it.",Can you reach the top shelf?,Can|you|reach|the|top|shelf?,e0453-a.mp3,e0453-b.mp3,1,user,Kevin.png,right,left,top
e0454,va0227,top,She's at the top of the class in math.,,彼女は数学でクラスのトップなんだ。,,Ruth,,1,Ruth,,___________,,She's at the top of the class in math.,She's|at|the|top|of|the|class|in|math.,e0454-a.mp3,,1,05.png,,left,none,top
e0455,va0228,follow,"Just follow me, I know a shortcut.","Okay, lead the way!",ついてきて、近道知ってるから。,うん、案内して！,Ivy,Kevin,1,Ivy,Kevin,___________,"Okay, lead the way!","Just follow me, I know a shortcut.","Just|follow|me,|I|know|a|shortcut.",e0455-a.mp3,e0455-b.mp3,1,user,Kevin.png,right,left,follow
e0456,va0228,follow,I follow a few cooking channels online.,,ネットでいくつか料理チャンネルをフォローしてるんだ。,,Ivy,,1,Ivy,,___________,,I follow a few cooking channels online.,I|follow|a|few|cooking|channels|online.,e0456-a.mp3,,1,user,,right,none,follow
e0457,va0229,cheap,This café is really cheap.,And the food's actually good too!,このカフェ本当に安いね。,しかも料理も実際美味しいし！,Ivy,Kevin,1,Ivy,Kevin,___________,And the food's actually good too!,This café is really cheap.,This|café|is|really|cheap.,e0457-a.mp3,e0457-b.mp3,1,user,Kevin.png,right,left,cheap.
e0458,va0229,cheap,I bought this bag because it was so cheap.,,このバッグ、すごく安かったから買ったんだ。,,Ivy,,1,Ivy,,___________,,I bought this bag because it was so cheap.,I|bought|this|bag|because|it|was|so|cheap.,e0458-a.mp3,,1,user,,right,none,cheap.
e0459,va0230,visit,Are you going to visit your grandparents this weekend?,"Yeah, we're staying overnight!",今週末おじいちゃんおばあちゃんのところ行くの？,うん、泊まりで行くよ！,Ivy,Matthew,1,Ivy,Matthew,___________,"Yeah, we're staying overnight!",Are you going to visit your grandparents this weekend?,Are|you|going|to|visit|your|grandparents|this|weekend?,e0459-a.mp3,e0459-b.mp3,1,user,Matthew.png,right,left,visit
e0460,va0230,visit,I've always wanted to visit Kyoto in autumn.,,秋に京都に行きたいってずっと思ってたんだ。,,Ivy,,1,Ivy,,___________,,I've always wanted to visit Kyoto in autumn.,I've|always|wanted|to|visit|Kyoto|in|autumn.,e0460-a.mp3,,1,user,,right,none,visit
e0461,va0231,get sick,I hope I don't get sick before the trip.,"Me too, drink lots of water!",旅行の前に体調崩さないといいな。,私も、たくさん水飲んでね！,Ivy,Kevin,1,Ivy,Kevin,___________,"Me too, drink lots of water!",I hope I don't get sick before the trip.,I|hope|I|don't|get|sick|before|the|trip.,e0461-a.mp3,e0461-b.mp3,1,user,Kevin.png,right,left,get|sick
e0462,va0231,get sick,She got sick after eating too much candy.,,彼女はお菓子を食べすぎて具合悪くなっちゃったんだ。,,Ivy,,1,Ivy,,___________,,She got sick after eating too much candy.,She|got|sick|after|eating|too|much|candy.,e0462-a.mp3,,1,user,,right,none,got|sick
e0463,va0232,recommendation,I'm looking for a new manga to read. Any recommendations?,You should try the one about ninjas!,新しく読む漫画探してるんだ。おすすめある？,忍者のやつ試してみなよ！,Ivy,Kevin,1,Ivy,Kevin,___________,You should try the one about ninjas!,I'm looking for a new manga to read. Any recommendations?,I'm|looking|for|a|new|manga|to|read.|Any|recommendations?,e0463-a.mp3,e0463-b.mp3,1,user,Kevin.png,right,left,recommendations?
e0464,va0232,recommendation,Any recommendations for a good ramen shop near here?,,この辺でいいラーメン屋のおすすめある？,,Ivy,,1,Ivy,,___________,,Any recommendations for a good ramen shop near here?,Any|recommendations|for|a|good|ramen|shop|near|here?,e0464-a.mp3,,1,user,,right,none,recommendations
e0465,va0233,get on,Let's get on the next train.,"Okay, it's coming in two minutes.",次の電車に乗ろう。,うん、あと2分で来るよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Okay, it's coming in two minutes.",Let's get on the next train.,Let's|get|on|the|next|train.,e0465-a.mp3,e0465-b.mp3,1,user,Kevin.png,right,left,get|on
e0466,va0233,get on,I got on the wrong bus by accident.,,うっかり違うバスに乗っちゃったよ。,,Ivy,,1,Ivy,,___________,,I got on the wrong bus by accident.,I|got|on|the|wrong|bus|by|accident.,e0466-a.mp3,,1,user,,right,none,got|on
e0467,va0234,this year,What's your goal this year?,"To read more books, actually!",今年の目標は？,実は本をもっと読むことなんだ！,Ivy,Kevin,1,Ivy,Kevin,___________,"To read more books, actually!",What's your goal this year?,What's|your|goal|this|year?,e0467-a.mp3,e0467-b.mp3,1,user,Kevin.png,right,left,this|year?
e0468,va0234,this year,This year has gone by so fast.,,今年はあっという間に過ぎたね。,,Ivy,,1,Ivy,,___________,,This year has gone by so fast.,This|year|has|gone|by|so|fast.,e0468-a.mp3,,1,user,,right,none,This|year
e0469,va0235,already,Have you already eaten lunch?,"Yeah, about an hour ago.",もうお昼食べた？,うん、1時間くらい前に。,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, about an hour ago.",Have you already eaten lunch?,Have|you|already|eaten|lunch?,e0469-a.mp3,e0469-b.mp3,1,user,Kevin.png,right,left,already
e0470,va0235,already,I already finished the puzzle you gave me.,,君がくれたパズル、もう終わらせたよ。,,Ivy,,1,Ivy,,___________,,I already finished the puzzle you gave me.,I|already|finished|the|puzzle|you|gave|me.,e0470-a.mp3,,1,user,,right,none,already
e0471,va0236,park,Do you want to walk in the park?,"Sure, the weather's nice today.",公園を散歩しない？,いいね、今日は天気いいし。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, the weather's nice today.",Do you want to walk in the park?,Do|you|want|to|walk|in|the|park?,e0471-a.mp3,e0471-b.mp3,1,user,Kevin.png,right,left,park?
e0472,va0236,park,Can you park the car over there?,,あそこに車を停めてくれる？,,Matthew,,1,Matthew,,___________,,Can you park the car over there?,Can|you|park|the|car|over|there?,e0472-a.mp3,,1,Matthew.png,,left,none,park
e0473,va0237,moon,"Look, the moon is so bright tonight!",It's almost full!,見て、今夜は月がすごく明るいよ！,もうすぐ満月だね！,Ivy,Kevin,1,Ivy,Kevin,___________,It's almost full!,"Look, the moon is so bright tonight!","Look,|the|moon|is|so|bright|tonight!",e0473-a.mp3,e0473-b.mp3,1,user,Kevin.png,right,left,moon
e0474,va0237,moon,I read a story about a rabbit on the moon.,,月にいるウサギの話を読んだんだ。,,Ivy,,1,Ivy,,___________,,I read a story about a rabbit on the moon.,I|read|a|story|about|a|rabbit|on|the|moon.,e0474-a.mp3,,1,user,,right,none,moon.
e0475,va0238,pull,Can you pull the door open? It's stuck.,"Sure, let me try.",ドア引っ張って開けてくれる？詰まってるんだ。,うん、やってみるね。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, let me try.",Can you pull the door open? It's stuck.,Can|you|pull|the|door|open?|It's|stuck.,e0475-a.mp3,e0475-b.mp3,1,user,Kevin.png,right,left,pull
e0476,va0238,pull,"Don't pull the cat's tail, it hurts her.",,猫のしっぽ引っ張らないで、痛がるから。,,Ivy,,1,Ivy,,___________,,"Don't pull the cat's tail, it hurts her.","Don't|pull|the|cat's|tail,|it|hurts|her.",e0476-a.mp3,,1,user,,right,none,pull
e0477,va0239,thirsty,I'm so thirsty after that run.,"Here, have some water!",あの後すごく喉が渇いたよ。,はい、お水飲んで！,Ivy,Kevin,1,Ivy,Kevin,___________,"Here, have some water!",I'm so thirsty after that run.,I'm|so|thirsty|after|that|run.,e0477-a.mp3,e0477-b.mp3,1,user,Kevin.png,right,left,thirsty
e0478,va0239,thirsty,Spicy food always makes me thirsty.,,辛い食べ物はいつも喉を渇かせるんだよね。,,Ivy,,1,Ivy,,___________,,Spicy food always makes me thirsty.,Spicy|food|always|makes|me|thirsty.,e0478-a.mp3,,1,user,,right,none,thirsty.
e0479,va0240,hit,The ball hit the window!,"Uh oh, is it broken?",ボールが窓に当たった！,うわ、割れてない？,Ivy,Kevin,1,Ivy,Kevin,___________,"Uh oh, is it broken?",The ball hit the window!,The|ball|hit|the|window!,e0479-a.mp3,e0479-b.mp3,1,user,Kevin.png,right,left,hit
e0480,va0240,hit,That song really hit me emotionally.,,あの曲、本当に心に響いたんだ。,,Ivy,,1,Ivy,,___________,,That song really hit me emotionally.,That|song|really|hit|me|emotionally.,e0480-a.mp3,,1,user,,right,none,hit
e0481,va0241,noon,Let's meet at noon for lunch.,"Sounds good, see you then!",お昼にランチで会おうよ。,いいね、じゃあその時に！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sounds good, see you then!",Let's meet at noon for lunch.,Let's|meet|at|noon|for|lunch.,e0481-a.mp3,e0481-b.mp3,1,user,Kevin.png,right,left,noon
e0482,va0241,noon,"By noon, we had already finished all our chores.",,お昼までには家事は全部終わってたよ。,,Ivy,,1,Ivy,,___________,,"By noon, we had already finished all our chores.","By|noon,|we|had|already|finished|all|our|chores.",e0482-a.mp3,,1,user,,right,none,"noon,"
e0483,va0242,all the way,Did you walk all the way home?,"Yeah, my bike had a flat tire.",家までずっと歩いたの？,うん、自転車のタイヤがパンクしてて。,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, my bike had a flat tire.",Did you walk all the way home?,Did|you|walk|all|the|way|home?,e0483-a.mp3,e0483-b.mp3,1,user,Kevin.png,right,left,all|way
e0484,va0242,all the way,I read the book all the way to the end in one night.,,その本、一晩で最後まで一気に読んじゃったよ。,,Ivy,,1,Ivy,,___________,,I read the book all the way to the end in one night.,I|read|the|book|all|the|way|to|the|end|in|one|night.,e0484-a.mp3,,1,user,,right,none,all|way
e0485,va0243,lose,I don't want to lose this game.,"Then focus, you can still win!",この試合負けたくないな。,じゃあ集中して、まだ勝てるよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Then focus, you can still win!",I don't want to lose this game.,I|don't|want|to|lose|this|game.,e0485-a.mp3,e0485-b.mp3,1,user,Kevin.png,right,left,lose
e0486,va0243,lose,"I lost my umbrella again, that's the third one!",,また傘なくしちゃった、これで3本目！,,Ivy,,1,Ivy,,___________,,"I lost my umbrella again, that's the third one!","I|lost|my|umbrella|again,|that's|the|third|one!",e0486-a.mp3,,1,user,,right,none,lost
e0487,va0244,healthy,Are you trying to eat healthy?,"Kind of, more vegetables lately.",健康的な食事しようとしてるの？,まあね、最近野菜多めにしてる。,Ivy,Kevin,1,Ivy,Kevin,___________,"Kind of, more vegetables lately.",Are you trying to eat healthy?,Are|you|trying|to|eat|healthy?,e0487-a.mp3,e0487-b.mp3,1,user,Kevin.png,right,left,healthy?
e0488,va0244,healthy,Getting enough sleep keeps you healthy.,,十分な睡眠は健康を保ってくれるよ。,,Ivy,,1,Ivy,,___________,,Getting enough sleep keeps you healthy.,Getting|enough|sleep|keeps|you|healthy.,e0488-a.mp3,,1,user,,right,none,healthy.
e0489,va0245,cooked,Is the rice cooked yet?,"Almost, five more minutes.",ご飯もう炊けた？,もうすぐ、あと5分。,Ivy,Kevin,1,Ivy,Kevin,___________,"Almost, five more minutes.",Is the rice cooked yet?,Is|the|rice|cooked|yet?,e0489-a.mp3,e0489-b.mp3,1,user,Kevin.png,right,left,cooked
e0490,va0245,cooked,I prefer my eggs well cooked.,,卵はしっかり火が通ってるほうが好きなんだ。,,Ivy,,1,Ivy,,___________,,I prefer my eggs well cooked.,I|prefer|my|eggs|well|cooked.,e0490-a.mp3,,1,user,,right,none,cooked.
e0491,va0246,close,Can you close the door? It's cold.,"Sure, one sec.",ドア閉めてくれる？寒いんだ。,うん、ちょっと待って。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, one sec.",Can you close the door? It's cold.,Can|you|close|the|door?|It's|cold.,e0491-a.mp3,e0491-b.mp3,1,user,Kevin.png,right,left,close
e0492,va0246,close,My house is close to the station.,,私の家は駅の近くにあるよ。,,Ivy,,1,Ivy,,___________,,My house is close to the station.,My|house|is|close|to|the|station.,e0492-a.mp3,,1,user,,right,none,close
e0493,va0247,block,The store is just two blocks from here.,"Great, let's walk then!",そのお店、ここから2ブロック先だよ。,いいね、じゃあ歩いて行こう！,Ivy,Kevin,1,Ivy,Kevin,___________,"Great, let's walk then!",The store is just two blocks from here.,The|store|is|just|two|blocks|from|here.,e0493-a.mp3,e0493-b.mp3,1,user,Kevin.png,right,left,blocks
e0494,va0247,block,Can you help me build a tower with these blocks?,,このブロックでタワー作るの手伝ってくれる？,,Ivy,,1,Ivy,,___________,,Can you help me build a tower with these blocks?,Can|you|help|me|build|a|tower|with|these|blocks?,e0494-a.mp3,,1,user,,right,none,blocks?
