question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e0027,va0014,make,Can you make pancakes for breakfast?,"Sure, coming right up!",朝ごはんにパンケーキ作ってくれる？,もちろん、すぐ作るね！,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, coming right up!",Can you make pancakes for breakfast?,Can|you|make|pancakes|for|breakfast?,e0027-a.mp3,e0027-b.mp3,1,user,Matthew.png,right,left
e0028,va0014,make,Loud noises make my dog nervous.,,大きな音がすると、うちの犬が不安になるんだ。,,Ivy,,1,Ivy,,___________,,Loud noises make my dog nervous.,Loud|noises|make|my|dog|nervous.,e0028-a.mp3,,1,user,,right,none
e0029,va0015,run,"Let's run to the bus stop, we're late!","Okay, go go go!",バス停まで走ろう、遅刻しちゃう！,了解、行くよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Okay, go go go!","Let's run to the bus stop, we're late!","Let's|run|to|the|bus|stop,|we're|late!",e0029-a.mp3,e0029-b.mp3,1,user,Kevin.png,right,left
e0030,va0015,run,My nose is running. I think I have a cold.,,鼻水が出るんだ。風邪ひいたかも。,,Ivy,,1,Ivy,,___________,,My nose is running. I think I have a cold.,My|nose|is|running.|I|think|I|have|a|cold.,e0030-a.mp3,,1,user,,right,none
e0031,va0016,rain,Is it going to rain today?,"Yeah, bring an umbrella!",今日雨降るかな？,うん、傘持って行きな！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, bring an umbrella!",Is it going to rain today?,Is|it|going|to|rain|today?,e0031-a.mp3,e0031-b.mp3,1,user,Kevin.png,right,left
e0032,va0016,rain,I love the sound of rain on the window.,,窓に当たる雨の音が好きなんだ。,,Ivy,,1,Ivy,,___________,,I love the sound of rain on the window.,I|love|the|sound|of|rain|on|the|window.,e0032-a.mp3,,1,user,,right,none
e0033,va0017,answer,Do you know the answer to this question?,"Nope, no idea!",この問題の答えわかる？,ううん、全然わかんない！,Ivy,Kevin,1,Ivy,Kevin,___________,"Nope, no idea!",Do you know the answer to this question?,Do|you|know|the|answer|to|this|question?,e0033-a.mp3,e0033-b.mp3,1,user,Kevin.png,right,left
e0034,va0017,answer,"Please answer the phone, it's ringing!",,電話出てよ、鳴ってるよ！,,Matthew,,1,Matthew,,___________,,"Please answer the phone, it's ringing!","Please|answer|the|phone,|it's|ringing!",e0034-a.mp3,,1,Matthew.png,,left,none
e0035,va0018,have,Do you have a pencil I can borrow?,"Sure, here you go!",鉛筆貸してもらえる？,もちろん、はいどうぞ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, here you go!",Do you have a pencil I can borrow?,Do|you|have|a|pencil|I|can|borrow?,e0035-a.mp3,e0035-b.mp3,1,user,Kevin.png,right,left
e0036,va0018,have,"I have to leave now, or I'll be late.",,もう出ないと、遅れちゃう。,,Ivy,,1,Ivy,,___________,,"I have to leave now, or I'll be late.","I|have|to|leave|now,|or|I'll|be|late.",e0036-a.mp3,,1,user,,right,none
e0037,va0019,country,Which country do you want to visit?,"Japan, for sure!",どの国に行ってみたい？,絶対日本！,Ivy,Kevin,1,Ivy,Kevin,___________,"Japan, for sure!",Which country do you want to visit?,Which|country|do|you|want|to|visit?,e0037-a.mp3,e0037-b.mp3,1,user,Kevin.png,right,left
e0038,va0019,country,This country has beautiful mountains and lakes.,,この国には美しい山と湖があるんだ。,,Ivy,,1,Ivy,,___________,,This country has beautiful mountains and lakes.,This|country|has|beautiful|mountains|and|lakes.,e0038-a.mp3,,1,user,,right,none
e0039,va0020,need,I need help with my homework.,"No problem, let's do it together!",宿題手伝ってほしいな。,いいよ、一緒にやろう！,Ivy,Kevin,1,Ivy,Kevin,___________,"No problem, let's do it together!",I need help with my homework.,I|need|help|with|my|homework.,e0039-a.mp3,e0039-b.mp3,1,user,Kevin.png,right,left
e0040,va0020,need,You don't need to worry about it.,,そのこと、心配しなくていいよ。,,Matthew,,1,Matthew,,___________,,You don't need to worry about it.,You|don't|need|to|worry|about|it.,e0040-a.mp3,,1,Matthew.png,,left,none
e0041,va0021,easy,Was the test easy?,"Yeah, super easy!",テスト簡単だった？,うん、めっちゃ簡単だった！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, super easy!",Was the test easy?,Was|the|test|easy?,e0041-a.mp3,e0041-b.mp3,1,user,Kevin.png,right,left
e0042,va0021,easy,It's not easy to wake up early in winter.,,冬に早起きするのって大変だよね。,,Ivy,,1,Ivy,,___________,,It's not easy to wake up early in winter.,It's|not|easy|to|wake|up|early|in|winter.,e0042-a.mp3,,1,user,,right,none
e0043,va0022,open,Can you open the window? It's hot in here.,Sure!,窓開けてくれる？暑いんだ。,いいよ！,Ivy,Matthew,1,Ivy,Matthew,___________,Sure!,Can you open the window? It's hot in here.,Can|you|open|the|window?|It's|hot|in|here.,e0043-a.mp3,e0043-b.mp3,1,user,Matthew.png,right,left
e0044,va0022,open,The store opens at nine in the morning.,,そのお店は朝9時に開くよ。,,Ivy,,1,Ivy,,___________,,The store opens at nine in the morning.,The|store|opens|at|nine|in|the|morning.,e0044-a.mp3,,1,user,,right,none
e0045,va0023,thanks,Here's your coffee.,Thanks a lot!,コーヒーどうぞ。,ありがとう！,Matthew,Ivy,2,Matthew,Ivy,Here's your coffee.,___________,Thanks a lot!,Thanks|a|lot!,e0045-a.mp3,e0045-b.mp3,1,Matthew.png,user,left,right
e0046,va0023,thanks,Big thanks to everyone who helped clean up.,,片付けを手伝ってくれたみんな、本当にありがとう。,,Ivy,,1,Ivy,,___________,,Big thanks to everyone who helped clean up.,Big|thanks|to|everyone|who|helped|clean|up.,e0046-a.mp3,,1,user,,right,none
e0047,va0024,everything,Is everything okay?,"Yeah, everything's fine now.",全部大丈夫？,うん、もう全部大丈夫だよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, everything's fine now.",Is everything okay?,Is|everything|okay?,e0047-a.mp3,e0047-b.mp3,1,user,Kevin.png,right,left
e0048,va0024,everything,I packed everything for the trip already.,,旅行の荷物、もう全部詰めたよ。,,Ivy,,1,Ivy,,___________,,I packed everything for the trip already.,I|packed|everything|for|the|trip|already.,e0048-a.mp3,,1,user,,right,none
e0049,va0025,between,The cat is sitting between the two chairs.,,猫が二つの椅子の間に座ってるよ。,,Ivy,,1,Ivy,,___________,,The cat is sitting between the two chairs.,The|cat|is|sitting|between|the|two|chairs.,e0049-a.mp3,,1,user,,right,none
e0050,va0025,between,"Just keep this between us, okay?",,これは二人だけの秘密ね、いい？,,Kevin,,1,Kevin,,___________,,"Just keep this between us, okay?","Just|keep|this|between|us,|okay?",e0050-a.mp3,,1,Kevin.png,,left,none
e0051,va0026,fish,Do you like fish?,"Yeah, I eat it every week!",魚は好き？,うん、毎週食べてるよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, I eat it every week!",Do you like fish?,Do|you|like|fish?,e0051-a.mp3,e0051-b.mp3,1,user,Kevin.png,right,left
e0052,va0026,fish,We saw so many fish at the aquarium!,,水族館でたくさんの魚を見たよ！,,Ivy,,1,Ivy,,___________,,We saw so many fish at the aquarium!,We|saw|so|many|fish|at|the|aquarium!,e0052-a.mp3,,1,user,,right,none
e0053,va0027,tall,"Wow, you're so tall now!",I grew five centimeters this year!,わあ、すごく背が伸びたね！,今年5センチ伸びたんだ！,Kevin,Ivy,1,Kevin,Ivy,___________,I grew five centimeters this year!,"Wow, you're so tall now!","Wow,|you're|so|tall|now!",e0053-a.mp3,e0053-b.mp3,1,Kevin.png,user,left,right
e0054,va0027,tall,That's a really tall building.,,あれ、本当に高いビルだね。,,Ivy,,1,Ivy,,___________,,That's a really tall building.,That's|a|really|tall|building.,e0054-a.mp3,,1,user,,right,none
e0055,va0028,try,"You should try this cake, it's delicious!","Okay, I will!",このケーキ食べてみて、美味しいよ！,うん、食べてみる！,Matthew,Ivy,1,Matthew,Ivy,___________,"Okay, I will!","You should try this cake, it's delicious!","You|should|try|this|cake,|it's|delicious!",e0055-a.mp3,e0055-b.mp3,1,Matthew.png,user,left,right
e0056,va0028,try,I'll try my best in the race tomorrow.,,明日のレース、頑張るよ。,,Ivy,,1,Ivy,,___________,,I'll try my best in the race tomorrow.,I'll|try|my|best|in|the|race|tomorrow.,e0056-a.mp3,,1,user,,right,none
e0057,va0029,friend,Who's that?,"Oh, she's my best friend from school.",あの子誰？,あ、学校の親友だよ。,Kevin,Ivy,2,Kevin,Ivy,Who's that?,___________,"Oh, she's my best friend from school.","Oh,|she's|my|best|friend|from|school.",e0057-a.mp3,e0057-b.mp3,1,Kevin.png,user,left,right
e0058,va0029,friend,I made a new friend at camp this summer.,,この夏、キャンプで新しい友達ができたんだ。,,Ivy,,1,Ivy,,___________,,I made a new friend at camp this summer.,I|made|a|new|friend|at|camp|this|summer.,e0058-a.mp3,,1,user,,right,none
e0059,va0030,family,How many people are in your family?,"Five, with my two little brothers!",家族は何人？,5人だよ、小さい弟が二人いるんだ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Five, with my two little brothers!",How many people are in your family?,How|many|people|are|in|your|family?,e0059-a.mp3,e0059-b.mp3,1,user,Kevin.png,right,left
e0060,va0030,family,My family is going to the beach this weekend.,,うちの家族、今週末海に行くんだ。,,Ivy,,1,Ivy,,___________,,My family is going to the beach this weekend.,My|family|is|going|to|the|beach|this|weekend.,e0060-a.mp3,,1,user,,right,none
e0061,va0042,learn,I'm learning how to play the guitar.,That's so cool!,ギター弾けるように練習してるんだ。,それすごくいいね！,Ivy,Kevin,1,Ivy,Kevin,___________,That's so cool!,I'm learning how to play the guitar.,I'm|learning|how|to|play|the|guitar.,e0061-a.mp3,e0061-b.mp3,1,user,Kevin.png,right,left
e0062,va0042,learn,You learn something new every day.,,毎日何か新しいことを学ぶよね。,,Ivy,,1,Ivy,,___________,,You learn something new every day.,You|learn|something|new|every|day.,e0062-a.mp3,,1,user,,right,none
e0063,va0043,clean,Can you clean your room before dinner?,"Okay, I'm doing it now!",夕食前に部屋掃除してくれる？,うん、今やってるよ！,Matthew,Ivy,1,Matthew,Ivy,___________,"Okay, I'm doing it now!",Can you clean your room before dinner?,Can|you|clean|your|room|before|dinner?,e0063-a.mp3,e0063-b.mp3,1,Matthew.png,user,left,right
e0064,va0043,clean,"This towel isn't clean, can I get another one?",,このタオル汚れてる、別のもらえる？,,Ivy,,1,Ivy,,___________,,"This towel isn't clean, can I get another one?","This|towel|isn't|clean,|can|I|get|another|one?",e0064-a.mp3,,1,user,,right,none
e0065,va0044,say,What did you say?,I said I'm hungry!,何て言ったの？,お腹すいたって言ったんだよ！,Kevin,Ivy,1,Kevin,Ivy,___________,I said I'm hungry!,What did you say?,What|did|you|say?,e0065-a.mp3,e0065-b.mp3,1,Kevin.png,user,left,right
e0066,va0044,say,I don't know what to say.,,何て言えばいいかわからないな。,,Ivy,,1,Ivy,,___________,,I don't know what to say.,I|don't|know|what|to|say.,e0066-a.mp3,,1,user,,right,none
e0067,va0045,call,Can you call me tonight?,"Sure, around seven?",今夜電話してくれる？,うん、7時くらいでいい？,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, around seven?",Can you call me tonight?,Can|you|call|me|tonight?,e0067-a.mp3,e0067-b.mp3,1,user,Kevin.png,right,left
e0068,va0045,call,What do you call this in English?,,これ英語で何て呼ぶの？,,Ivy,,1,Ivy,,___________,,What do you call this in English?,What|do|you|call|this|in|English?,e0068-a.mp3,,1,user,,right,none
e0069,va0046,everyone,Is everyone ready?,"Yep, we're all set!",みんな準備できた？,うん、準備万端！,Kevin,Ivy,1,Kevin,Ivy,___________,"Yep, we're all set!",Is everyone ready?,Is|everyone|ready?,e0069-a.mp3,e0069-b.mp3,1,Kevin.png,user,left,right
e0070,va0046,everyone,Everyone loves her cooking.,,みんな彼女の料理が大好きなんだ。,,Ivy,,1,Ivy,,___________,,Everyone loves her cooking.,Everyone|loves|her|cooking.,e0070-a.mp3,,1,user,,right,none
e0071,va0047,window,"Close the window, it's getting cold.","Oh, sorry, okay!",窓閉めて、寒くなってきた。,あ、ごめん、了解！,Matthew,Ivy,1,Matthew,Ivy,___________,"Oh, sorry, okay!","Close the window, it's getting cold.","Close|the|window,|it's|getting|cold.",e0071-a.mp3,e0071-b.mp3,1,Matthew.png,user,left,right
e0072,va0047,window,A bird just flew past the window!,,今、窓の外を鳥が飛んでったよ！,,Ivy,,1,Ivy,,___________,,A bird just flew past the window!,A|bird|just|flew|past|the|window!,e0072-a.mp3,,1,user,,right,none
e0073,va0048,at school,Did anything fun happen at school today?,"Yeah, we had an art contest!",今日学校で何か楽しいことあった？,うん、絵画コンテストがあったんだ！,Kevin,Ivy,1,Kevin,Ivy,___________,"Yeah, we had an art contest!",Did anything fun happen at school today?,Did|anything|fun|happen|at|school|today?,e0073-a.mp3,e0073-b.mp3,1,Kevin.png,user,left,right
e0074,va0048,at school,I left my jacket at school again.,,また学校にジャケット忘れちゃった。,,Ivy,,1,Ivy,,___________,,I left my jacket at school again.,I|left|my|jacket|at|school|again.,e0074-a.mp3,,1,user,,right,none
e0075,va0049,people,So many people are at the park today!,,今日は公園にたくさん人がいるね！,,Ivy,,1,Ivy,,___________,,So many people are at the park today!,So|many|people|are|at|the|park|today!,e0075-a.mp3,,1,user,,right,none
e0076,va0049,people,Some people don't like spicy food.,,辛い食べ物が苦手な人もいるよね。,,Ivy,,1,Ivy,,___________,,Some people don't like spicy food.,Some|people|don't|like|spicy|food.,e0076-a.mp3,,1,user,,right,none
e0077,va0050,add,Can you add some sugar to my tea?,"Sure, how much?",紅茶に砂糖入れてくれる？,うん、どれくらい？,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, how much?",Can you add some sugar to my tea?,Can|you|add|some|sugar|to|my|tea?,e0077-a.mp3,e0077-b.mp3,1,user,Matthew.png,right,left
e0078,va0050,add,Let's add your name to the list.,,リストに君の名前を追加しようよ。,,Ivy,,1,Ivy,,___________,,Let's add your name to the list.,Let's|add|your|name|to|the|list.,e0078-a.mp3,,1,user,,right,none
e0079,va0051,at home,Are you staying at home this weekend?,"Yeah, I'm just relaxing.",今週末は家にいるの？,うん、ゆっくりしてるよ。,Kevin,Ivy,1,Kevin,Ivy,___________,"Yeah, I'm just relaxing.",Are you staying at home this weekend?,Are|you|staying|at|home|this|weekend?,e0079-a.mp3,e0079-b.mp3,1,Kevin.png,user,left,right
e0080,va0051,at home,I left my phone at home!,,家に携帯忘れちゃった！,,Ivy,,1,Ivy,,___________,,I left my phone at home!,I|left|my|phone|at|home!,e0080-a.mp3,,1,user,,right,none
e0081,va0052,afternoon,What are you doing this afternoon?,Playing soccer with my friends!,今日の午後何するの？,友達とサッカーするんだ！,Kevin,Ivy,1,Kevin,Ivy,___________,Playing soccer with my friends!,What are you doing this afternoon?,What|are|you|doing|this|afternoon?,e0081-a.mp3,e0081-b.mp3,1,Kevin.png,user,left,right
e0082,va0052,afternoon,Good afternoon! Did you sleep well?,,こんにちは！よく眠れた？,,Ivy,,1,Ivy,,___________,,Good afternoon! Did you sleep well?,Good|afternoon!|Did|you|sleep|well?,e0082-a.mp3,,1,user,,right,none
e0083,va0053,sleep,I didn't sleep well last night.,"Oh no, are you tired?",昨晩あんまり眠れなかったんだ。,えー、疲れてる？,Ivy,Kevin,1,Ivy,Kevin,___________,"Oh no, are you tired?",I didn't sleep well last night.,I|didn't|sleep|well|last|night.,e0083-a.mp3,e0083-b.mp3,1,user,Kevin.png,right,left
e0084,va0053,sleep,"Let's go to sleep, it's late.",,もう寝ようよ、遅いから。,,Ivy,,1,Ivy,,___________,,"Let's go to sleep, it's late.","Let's|go|to|sleep,|it's|late.",e0084-a.mp3,,1,user,,right,none
e0085,va0054,sad,Why do you look so sad?,My goldfish died this morning.,なんでそんな悲しそうなの？,今朝、金魚が死んじゃったんだ。,Kevin,Ivy,1,Kevin,Ivy,___________,My goldfish died this morning.,Why do you look so sad?,Why|do|you|look|so|sad?,e0085-a.mp3,e0085-b.mp3,1,Kevin.png,user,left,right
e0086,va0054,sad,That movie made me really sad.,,あの映画、すごく悲しくなったよ。,,Ivy,,1,Ivy,,___________,,That movie made me really sad.,That|movie|made|me|really|sad.,e0086-a.mp3,,1,user,,right,none
e0087,va0055,room,Can I come into your room?,"Sure, come on in!",君の部屋入っていい？,うん、どうぞ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, come on in!",Can I come into your room?,Can|I|come|into|your|room?,e0087-a.mp3,e0087-b.mp3,1,user,Kevin.png,right,left
e0088,va0055,room,There's no room for this box in here.,,ここにこの箱を入れるスペースがないよ。,,Ivy,,1,Ivy,,___________,,There's no room for this box in here.,There's|no|room|for|this|box|in|here.,e0088-a.mp3,,1,user,,right,none
e0089,va0056,with,Can I come with you?,"Of course, let's go!",一緒に行っていい？,もちろん、行こう！,Kevin,Ivy,1,Kevin,Ivy,___________,"Of course, let's go!",Can I come with you?,Can|I|come|with|you?,e0089-a.mp3,e0089-b.mp3,1,Kevin.png,user,left,right
e0090,va0056,with,I made this cake with my grandma.,,おばあちゃんと一緒にこのケーキ作ったんだ。,,Ivy,,1,Ivy,,___________,,I made this cake with my grandma.,I|made|this|cake|with|my|grandma.,e0090-a.mp3,,1,user,,right,none
e0091,va0057,bring,Don't forget to bring your umbrella.,"Okay, I won't!",傘持ってくるの忘れないでね。,うん、忘れない！,Matthew,Ivy,1,Matthew,Ivy,___________,"Okay, I won't!",Don't forget to bring your umbrella.,Don't|forget|to|bring|your|umbrella.,e0091-a.mp3,e0091-b.mp3,1,Matthew.png,user,left,right
e0092,va0057,bring,Can you bring me some snacks from the store?,,お店からお菓子買ってきてくれる？,,Ivy,,1,Ivy,,___________,,Can you bring me some snacks from the store?,Can|you|bring|me|some|snacks|from|the|store?,e0092-a.mp3,,1,user,,right,none
e0093,va0058,face,You have something on your face.,"Oh, whoops, where?",顔に何かついてるよ。,あ、やば、どこ？,Kevin,Ivy,1,Kevin,Ivy,___________,"Oh, whoops, where?",You have something on your face.,You|have|something|on|your|face.,e0093-a.mp3,e0093-b.mp3,1,Kevin.png,user,left,right
e0094,va0058,face,She had a big smile on her face.,,彼女は顔に大きな笑みを浮かべていたよ。,,Ivy,,1,Ivy,,___________,,She had a big smile on her face.,She|had|a|big|smile|on|her|face.,e0094-a.mp3,,1,user,,right,none
e0095,va0059,here,Come here for a second!,Coming!,ちょっとこっち来て！,今行く！,Kevin,Ivy,1,Kevin,Ivy,___________,Coming!,Come here for a second!,Come|here|for|a|second!,e0095-a.mp3,e0095-b.mp3,1,Kevin.png,user,left,right
e0096,va0059,here,It's so quiet here.,,ここ、すごく静かだね。,,Ivy,,1,Ivy,,___________,,It's so quiet here.,It's|so|quiet|here.,e0096-a.mp3,,1,user,,right,none
e0097,va0060,thank,I want to thank you for your help.,No problem at all!,手伝ってくれてありがとうって言いたいんだ。,全然大丈夫だよ！,Ivy,Matthew,1,Ivy,Matthew,___________,No problem at all!,I want to thank you for your help.,I|want|to|thank|you|for|your|help.,e0097-a.mp3,e0097-b.mp3,1,user,Matthew.png,right,left
e0098,va0060,thank,We should thank Grandpa for the gift.,,おじいちゃんに贈り物のお礼を言わなきゃね。,,Ivy,,1,Ivy,,___________,,We should thank Grandpa for the gift.,We|should|thank|Grandpa|for|the|gift.,e0098-a.mp3,,1,user,,right,none
e0099,va0061,sorry,I'm sorry I'm late.,"It's okay, don't worry!",遅れてごめんね。,大丈夫、気にしないで！,Ivy,Matthew,1,Ivy,Matthew,___________,"It's okay, don't worry!",I'm sorry I'm late.,I'm|sorry|I'm|late.,e0099-a.mp3,e0099-b.mp3,1,user,Matthew.png,right,left
e0100,va0061,sorry,"Sorry, can you say that again?",,ごめん、もう一回言ってくれる？,,Kevin,,1,Kevin,,___________,,"Sorry, can you say that again?","Sorry,|can|you|say|that|again?",e0100-a.mp3,,1,Kevin.png,,left,none
e0101,va0062,hand,Can you give me a hand with this?,"Sure, what do you need?",これ手伝ってくれる？,うん、何すればいい？,Kevin,Ivy,1,Kevin,Ivy,___________,"Sure, what do you need?",Can you give me a hand with this?,Can|you|give|me|a|hand|with|this?,e0101-a.mp3,e0101-b.mp3,1,Kevin.png,user,left,right
e0102,va0062,hand,Raise your hand if you know the answer.,,答えがわかる人は手を挙げてね。,,Ivy,,1,Ivy,,___________,,Raise your hand if you know the answer.,Raise|your|hand|if|you|know|the|answer.,e0102-a.mp3,,1,user,,right,none
